"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","location_or_most_recent_sale_notes","collection_type","realdate","medium","medium_notes","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","biblio_reference","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","provenance","provenance_text","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","layout","order","original_image_file","image_source_title","image_source_url"
18165,"Adoration of the Magi (Lokeren)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,135,169,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Verz. Taymans. |Vlg. Brussel (Giroux) 1-3-1957, nr. 274 |Sale, Lokeren (Gal. de Vuyst), 16 Feb 1980, nr. 350",,,,,,,,"img/derivatives/simple/18165/thumbnail.jpg","img/derivatives/simple/18165/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Lockeren.jpg",,
18158,"Adoration of the Magi (London, Christie's, 1950)","Painting","Religious","Resting|House|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,24,30.4,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Vlg. Monsignor J. O'connor, London (Christie), 28-7-1950, no. 25.",,,,,,,,"img/derivatives/simple/18158/thumbnail.jpg","img/derivatives/simple/18158/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_London_Christies.jpg",,
18168,"Adoration of the Magi (London, Phillips)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,119.7,167.3,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Adoration Series",,,,,"Ertz as Pieter Brueghel II",,,,,,,,,"Sale, Phillips London, 1995/04/06, nr. 34 |Verz. Dr. C.J.K. van Aalst, Hoevelaken (niet in cat. 1939) |loaned to Utrecht, Centraal Museum, cat. 1933, nr. 263 |Vlg. van Aalst, London, Christie's, 1-4-1960, nr. 15, as P. Brueghel",,,,,,,,"img/derivatives/simple/18168/thumbnail.jpg","img/derivatives/simple/18168/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_London_Phillips.jpg",,
18174,"The Adoration of the Magi (London, Sotheby's 1990)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,124.5,168,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Anonymous sale, London, Christie's, 2 December 1983, lot 116, as by Pieter Balten. |Vlg. London (Sotheby) 12-December 1990.",,,,,,,,"img/derivatives/simple/18174/thumbnail.jpg","img/derivatives/simple/18174/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_London_Sothebys_1990.jpg",,
18173,"The Adoration of the Magi (London, Sotheby's)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,118,181,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,"G. Gluck, Das grosse Bruegel-Werk, 1953, p. 40|G. Marlier, Pierre Brueghel le jeune, 1969, p. 315, no. 7",8218,,,,,,,"Vlg. E.F. Heckett e.a. (anon. ged.) London (Sotheby), 30 nov. 1983.",,,,,,,,"img/derivatives/simple/18173/thumbnail.jpg","img/derivatives/simple/18173/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_London_Sothebys.jpg",,
18169,"Adoration of the Magi (London, van Haeften)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,177.6,167.3,,,,,,"Unknown/Not Applicable",,"Oil",,"Canvas",,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"London, kunsthandel Johnny Van Haeften, 2004",,,,,,,,"img/derivatives/simple/18169/thumbnail.jpg","img/derivatives/simple/18169/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_London_van_Haeften.jpg",,
18163,"Adoration of the Magi (Madrid, Convento de las Descalzas Reales)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,,,,"Spain","Madrid","Convento de las Descalzas Reales",,"Public",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,"Ertz as Pieter Brueghel II",,,,,,,,,,,,,,,,,"img/derivatives/simple/18163/thumbnail.jpg","img/derivatives/simple/18163/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Madrid_Convento.jpg",,
18166,"Adoration of the Magi (Madrid, Lazato)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,205,160,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Verz, Lazato, Madrid, No. 11295",,,,,,,,"img/derivatives/simple/18166/thumbnail.jpg","img/derivatives/simple/18166/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Madrid_Lazato.jpg",,
18167,"Adoration of the Magi (Madrid)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,119,165,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,"Ertz as Pieter Brueghel II",,,,,,,,,,,,,,,,,"img/derivatives/simple/18167/thumbnail.jpg","img/derivatives/simple/18167/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Madrid.jpg",,
18160,"Adoration of the Magi (Munich)","Painting","Religious","Resting|Cattle|Dog|Donkey|Horse|Children|Christ|New Testament|Virgin Mary",,33.5,51,,"Germany","Munich","Bayerische Staatsgemäldesammlungen","inv. nr. 2001","Public",,"Oil",,"Copper",,"I.I. BREV. IN. F.",,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Muchen, Alte Pinakothek|cat. 199, nr. 706. |Kollerton Hafstaengl, Munich, KGL. Pinakothek",,,,,,,,"img/derivatives/simple/18160/thumbnail.jpg","img/derivatives/simple/18160/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Munich.jpg",,
18172,"Adoration of the Magi (New York, Sotheby's)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,115.9,159.1,,,,,,"Unknown/Not Applicable",,"Oil",,"Canvas",,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Sale, NY Sotheby's, 1998-01-30, nr. 185",,,,,,,,"img/derivatives/simple/18172/thumbnail.jpg","img/derivatives/simple/18172/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_New_York_Sothebys.jpg",,
18171,"Adoration of the Magi (Philadelphia)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,122,157.5,,"United States","Philadelphia, PA","Philadelphia Museum of Art","donation of Mrs. B.H. Moore, 1883","Public",,"Oil",,"Canvas",,,,,,,,,,,,"Adoration Series",,,,,"Ertz as Pieter Brueghel II",,,,,,,,,,,,,,,,,"img/derivatives/simple/18171/thumbnail.jpg","img/derivatives/simple/18171/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Philadelphia.jpg",,
18159,"Adoration of the Magi (Prague)","Painting","Religious","Resting|Cattle|Dog|Donkey|Horse|Children|Christ|New Testament|Virgin Mary",,33.5,51,,"Czech Republic","Prague","Gallery Nostitz","cat. 1905, no. 27","Private",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18159/thumbnail.jpg","img/derivatives/simple/18159/fullwidth.jpg","janbrueghel","brueghel_item",,"Ads_Prague.jpg",,
18162,"Adoration of the Magi (Stausburg)","Painting","Religious","Resting|Dog|Horse|Bridge|River|Soldiers|Christ|New Testament|Virgin Mary",,135,185,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,"Sale, Gluck (1951), w.6: Brussel, Mus. |Verz. E. Huber, Straatsburg, 1934. |Vlg. Paris, 15-12-1937, no. 46",,,,,,,,"img/derivatives/simple/18162/thumbnail.jpg","img/derivatives/simple/18162/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Strausburg.jpg",,
18596,"Adoration of the Magi (Unknown Location 1)",,,,,124.5,168,,,,,,,,,,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18596/thumbnail.jpg","img/derivatives/simple/18596/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Unknown_1.jpg",,
18595,"Adoration of the Magi (Unknown Location 2)",,,,,115,171,,,,,,,,,,,,,,,,,,,,,,"Adoration Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18595/thumbnail.jpg","img/derivatives/simple/18595/fullwidth.jpg","janbrueghel","brueghel_item",,"AdS_Unknown_2.jpg",,
18598,"Venus at the Forge of Vulcan (Worcester)","Painting",,,,55.2,88.9,,,,,,,,,,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,8461,,,,,,,,,"img/derivatives/simple/18598/thumbnail.jpg","img/derivatives/simple/18598/fullwidth.jpg","janbrueghel","brueghel_item",,"AF_Worcester_Vulcan.jpg",,
18597,"Allegory of Fire (London, Christie's, 1926)",,,,,55.9,80,,,,,,,,,,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,8452,,,,,,,,,"img/derivatives/simple/18597/thumbnail.jpg","img/derivatives/simple/18597/fullwidth.jpg","janbrueghel","brueghel_item",,"Allegory_of_Fire_Christies_London_1926.jpg",,
18200,"Allegory of the Four Elements (Brussels, G. Haes he Lorehen)","Painting","Allegory","Abundance|Elements|Encyclopedic|Birds|Fish|River|Nude|Armor|Flowers",,,,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, G.Haes he Lorehen, Brussels,20-4-1930",,,,,,,,"img/derivatives/simple/18200/thumbnail.jpg","img/derivatives/simple/18200/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_brussels_ghaeshelorehen.jpg",,
18198,"Allegory of the Four Elements (Brussels)","Painting","Allegory","Abundance|Elements|Encyclopedic|Birds|Fish|River|Nude|Armor|Flowers|Fruit",,,,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Duvinge van den Wide, Brussels, 26 January 1929.",,,,,,,,"img/derivatives/simple/18198/thumbnail.jpg","img/derivatives/simple/18198/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_brussels.jpg",,
18199,"Allegory of the Four Elements (Budapest)","Painting","Allegory","Abundance|Elements|Encyclopedic|Birds|Fish|River|Nude|Armor|Flowers",,56.2,84.6,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Ruszinko. Budapest, Musee des Beaux-Arts (niet in cat. 1937 en 1954)",,,,,,,,"img/derivatives/simple/18199/thumbnail.jpg","img/derivatives/simple/18199/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_budapest.jpg",,
18221,"The Forge of Vulcan (Cologne)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Landscape|Armor",,23.5,33,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Vlg. Keulen (van Ham), 1/3-July 2004.",,,,,,,,"img/derivatives/simple/18221/thumbnail.jpg","img/derivatives/simple/18221/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_cologne.jpg",,
18201,"The Sense of Touch (London)","Painting","Allegory","Encyclopedic|Senses|Ruins|Nude|Putti|Landscape|Armor",,75.5,115.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, London (Philips Son & Neale), 1996-12-10, nr. 47.|Sale, London (Sotheby's), 1998-07-09, nr. 144",,,,,,,,"img/derivatives/simple/18201/thumbnail.jpg","img/derivatives/simple/18201/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_london.jpg",,
18218,"Allegory of Fire: Venus in the Forge of Vulcan (Monaco)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Nude|Landscape|Armor",,39.4,49.5,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Monaco (Sotheby's), 2/3 dec. 1988",,,,,,,,"img/derivatives/simple/18218/thumbnail.jpg","img/derivatives/simple/18218/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_monaco.jpg",,
18191,"Allegory of Fire: Venus in the Forge of Vulcan (Mosigkau)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Birds|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,62.5,95,,"Unavailable","Private Collection/Art Market",,"Mosigkau, Germany, cat. 1874, no. 28","Private",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18191/thumbnail.jpg","img/derivatives/simple/18191/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_mosigkau.jpg",,
18202,"The Sense of Touch (Munich)","Painting","Allegory","Encyclopedic|Senses|Ruins|Nude|Putti|Landscape|Armor",,71,115,,"Germany","Munich","Bayerische Staatsgemäldesammlungen","Inv. nr. 4945","Public",,"Oil",,"Panel",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Augsburg, Gemaldegalerie|cat. 1912, nr. 2443.",,,,,,,,"img/derivatives/simple/18202/thumbnail.jpg","img/derivatives/simple/18202/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_munich.jpg",,
18179,"Allegory of Fire: Venus in the Forge of Vulcan (Sotheby's, New York)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,35.9,46.6,,,,,,"Unknown/Not Applicable",1659,"Oil",,,,"HB",,,"1659 (LL)",,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, New York (Sotheby's), 1990-01-28, nr. 531.",,,,,,,,"img/derivatives/simple/18179/thumbnail.jpg","img/derivatives/simple/18179/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_ny_sothebys.jpg",,
18215,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Galliera)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Nude|Landscape|Armor",,53.5,88,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Collection, Coppfe, Brussels. /// Vlg. Paris (Galliera), 2 December 1979, nr. Ig.",,,,,,,,"img/derivatives/simple/18215/thumbnail.jpg","img/derivatives/simple/18215/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_paris_galliera.jpg",,
18212,"Allegory of Fire: Venus in the Forge of Vulcan (Paris, Legrain)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Volcano|Nude|Landscape|Armor",,56,72.5,,"Unavailable","Private Collection/Art Market",,"Paris, France, Simon Legrain, Com. Aug '54","Private",,"Oil",,"Copper|Panel",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18212/thumbnail.jpg","img/derivatives/simple/18212/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_paris_legrain.jpg",,
18220,"Venus and Mars in the Forge of Vulcan (Paris)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Volcano|Landscape|Armor",,74.5,127,,,,,,"Unknown/Not Applicable",,"Oil",,"Panel",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Vlg. Paris (Hotel George V), 9 April 1990.",,,,,,,,"img/derivatives/simple/18220/thumbnail.jpg","img/derivatives/simple/18220/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_paris.jpg",,
18185,"Allegory of Fire: Venus in the Forge of Vulcan (Peterborough)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,77,49,,"Unavailable","Private Collection/Art Market",,"Peterborough, England, Lady Exter, Burghley House, nr. 118","Private",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18185/thumbnail.jpg","img/derivatives/simple/18185/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_peterborough.jpg",,
18182,"Allegory of Fire: Venus in the Forge of Vulcan (Plymouth)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,57,92,,"England","Plymouth","Saltram House, National Trust","Saltram II, nr. 71","Public",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18182/thumbnail.jpg","img/derivatives/simple/18182/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_plymouth.jpg",,
18186,"Allegory of Fire: Venus in the Forge of Vulcan (Raehills)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,62,98,,"Unavailable","Private Collection/Art Market",,"Raehills, Lockerbie, Scotland, Major Hope Johnstone, cat. 1963, nr. B 8212, blz.4.","Private",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18186/thumbnail.jpg","img/derivatives/simple/18186/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_raehills.jpg",,
18216,"Allegory of Fire: Venus in the Forge of Vulcan (Russia)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Nude|Landscape|Armor",,48.8,73.5,,,,,,"Unknown/Not Applicable",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Verz Brocar. Moskou, nr. 2586 //  Kuchinev, Nat. Museum nr. 4302",,,,,,,,"img/derivatives/simple/18216/thumbnail.jpg","img/derivatives/simple/18216/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_russia.jpg",,
18187,"Allegory of Fire: Venus in the Forge of Vulcan (Solms)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,,,,"Unavailable","Private Collection/Art Market",,"Solms, Germany, Dr. Christoph Jokisch, cat. 1974","Private",,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Ksth. Amsterdam, ca. 1940. // Sale, Keulen (Lempertz), 15-11,1972, nr. 31",,,,,,,,"img/derivatives/simple/18187/thumbnail.jpg","img/derivatives/simple/18187/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_solms.jpg",,
18178,"Allegory of Fire: Venus in the Forge of Vulcan (Stockholm)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Forge|Ruins|Van Balen|Volcano|Nude|Landscape|Armor",,66,89,,,,,,"Unknown/Not Applicable",,"Oil",,"Copper",,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,"Sale, Stockholm (Bukowski), 1999-11-24, nr. 372.",,,,,,,,"img/derivatives/simple/18178/thumbnail.jpg","img/derivatives/simple/18178/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_stockholm.jpg",,
18197,"Allegory of Fire: Venus in the Forge of Vulcan (The Hague)","Painting","Allegory","Cosmology|Elements|Encyclopedic|Horse|Forge|Ruins|Van Balen|Nude|Putti|Landscape|Armor",,,,,"Germany","Potsdam","Prussian Palaces and Gardens Foundation Berlin-Brandenburg","Slot Neues Palais, gen. cat. nr. 7717","Public",1608,"Oil",,,,,,,,,,,,,,"Allegory of Fires Series",,,,,,,,,,,,,,,,,,,,,,"img/derivatives/simple/18197/thumbnail.jpg","img/derivatives/simple/18197/fullwidth.jpg","janbrueghel","brueghel_item",,"allegory_of_fire_venus_at_forge_the_hague.jpg",,
