"pid","object_pid","label","artist","provenance_date","provenance_location","provenance_text","collection","order"
"4548","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","janbrueghel",,"Germany","(Probably Germany) Eichel Collection","provenance",
"4549","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","janbrueghel","1763","Potsdam","Inventory of Neue Schloss","provenance",
"4550","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","janbrueghel","1931","Berlin","Kaiser Friedrich Museum","provenance",
"4551","2913","Allegory of Fire: Venus in the Forge of Vulcan (Berlin)","janbrueghel","1945",,"Destroyed","provenance",
"4552","2914","Allegory of Fire: Venus in the Forge of Vulcan (England)","janbrueghel","18th century","England","In the same collection since the 18th century.","provenance",
"7337","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","janbrueghel","1935","Berlin","Galerie van Diemen","provenance",
"4553","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","janbrueghel","Apr 20 1988","London","Sale, Sotheby's, Lot #53 (as 'attributed to Jan I')","provenance",
"7338","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","janbrueghel","1988 to 2016",,"Private collection","provenance",
"7339","2915","Allegory of Fire: Venus in the Forge of Vulcan (London)","janbrueghel","2016","Paris","With Bob Haboldt; shown at TEFAF","provenance",
"4560","2918","Allegory of Fire: Venus in the Forge of Vulcan (Rome)","janbrueghel","17th century","Rome","Possibly acquired by Camillo Pamphili","provenance",
"4561","2918","Allegory of Fire: Venus in the Forge of Vulcan (Rome)","janbrueghel","1819",,"Galleria Doria Pamphilj (Listed n the Fidecommissario Catalog as 'Brueghel' in 1819)","provenance",
"4562","2919","Allegory of Fire (Milan)","janbrueghel","1618","Milan","Donated by Cardinal Borromeo to Ambrosiana","provenance",
"4563","2920","Allegory of Gambling: Monkeys Playing a Board Game","janbrueghel","1990","Amsterdam","Gallery Roelofsz","provenance",
"4564","2921","Allegory of Love","janbrueghel","Apr 5 2008","London","Sale, Christie's, Lot #3 (as 'Hendrick van Balen')","provenance",
"4565","2922","Allegory of Peace","janbrueghel","Before 1964","London","Private Collection","provenance",
"4566","2922","Allegory of Peace","janbrueghel","1964","Munich","Private Collection","provenance",
"4567","2922","Allegory of Peace","janbrueghel","Dec 18 1987","London","Sale, Christie's, Lot #73","provenance",
"4568","2922","Allegory of Peace","janbrueghel","1988","Paris","Galerie d'Art St. Honoré, cat. 1988, inv. #21","provenance",
"4569","2923","Allegory of Public Welfare","janbrueghel","1821",,"inv. #1042 as ""M. de Vos""","provenance",
"4570","2923","Allegory of Public Welfare","janbrueghel","1871","Laxenburg","Esterházy Collection, Schloss Laxenburg","provenance",
"4571","2924","Allegory of Sight and Smell","janbrueghel","1623","Flanders","One of 25 paintings sent from Flanders to Queen Isabel de Bourbon","provenance",
"4572","2924","Allegory of Sight and Smell","janbrueghel","1636","Madrid","In the Alcazar ""in the room where the king eats during the summer"" (attributed to Rubens and Brueghel)","provenance",
"4573","2925","Allegory of Sound: The Bird Concert","janbrueghel",,"Scotland","Private Collection","provenance",
"4574","2926","Allegory of Spring (Neuburg an der Donau)","janbrueghel","1716","Düsseldorf","Galerie Düsseldorf, inv. #343 as ""door den Fluweelen Bruegel en van Balen""","provenance",
"4575","2926","Allegory of Spring (Neuburg an der Donau)","janbrueghel","1730","Mannheim","Mannheim Gallery","provenance",
"4576","2926","Allegory of Spring (Neuburg an der Donau)","janbrueghel","1822 to 1939","Munich","Inv. #2219","provenance",
"4577","2926","Allegory of Spring (Neuburg an der Donau)","janbrueghel","1966","Germany","Restored by the Federal Republic of Germany","provenance",
"4578","2927","Allegory of Summer","janbrueghel","Dec 12 1979","London","Sale, Sotheby's, Lot #44 (as Pieter Schoubroeck)","provenance",
"4579","2927","Allegory of Summer","janbrueghel","Apr 18 1997","London","Sale, Christie's (as Marten Ryckaert)","provenance",
"4580","2928","Allegory of Summer (Neuburg an der Donau)","janbrueghel",,"Düsseldorf","Galerie Düsseldorf, inv. #333 as ""door den Fluweelen Breugel en van Balen""","provenance",
"4581","2928","Allegory of Summer (Neuburg an der Donau)","janbrueghel","1730","Mannheim","Galerie Mannheim, inv. #9","provenance",
"4582","2928","Allegory of Summer (Neuburg an der Donau)","janbrueghel","1822","Munich","inv. #2120 (as Heinrich van Balen)","provenance",
"4583","2928","Allegory of Summer (Neuburg an der Donau)","janbrueghel","1966","Germany","Restored by the Federal Republic of Germany","provenance",
"4584","2929","Allegory of Touch, Hearing and Taste","janbrueghel","1623","Flanders","One of 25 paintings sent from Flanders to Queen Isabel de Bourbon","provenance",
"4585","2929","Allegory of Touch, Hearing and Taste","janbrueghel","1636","Madrid","In the Alcázar ""in the room where the king eats during the summer"" (attributed to Rubens and Brueghel)","provenance",
"4586","2930","Allegory of Vanity: The Feast of the Monkeys","janbrueghel","20th century","Brussels","Collection of Pelgrims de Bigard","provenance",
"4587","2930","Allegory of Vanity: The Feast of the Monkeys","janbrueghel",,"Brussels","de Pauw Collection","provenance",
"10259","2930","Allegory of Vanity: The Feast of the Monkeys","janbrueghel","Apr 9 1986","London","Sold Sotheby's, #3, as Jan Brueghel the Younger","provenance",
"10260","2930","Allegory of Vanity: The Feast of the Monkeys","janbrueghel",,"Paris","Gal. d'art St-Honoré","provenance",
"10261","2930","Allegory of Vanity: The Feast of the Monkeys","janbrueghel","Jul 3 2013","London","Sold Sotheby's for 602,500 GBP as Jan Brueghel the Elder","provenance",
"4590","2931","Allegory of Vanity: The Feast of the Monkeys (Belgium)","janbrueghel",,,"Private Collection, Belgium","provenance",
"4591","2932","Allegory of Water","janbrueghel","1829 to 1930","Potsdam","Schloss Sanssouci (Picture Gallery GK), inv. #7722","provenance",
"4592","2932","Allegory of Water","janbrueghel","1945","Berlin","Missing from Schloss Königs Wusterhausen since 1945","provenance",
"4606","2936","Allegory of Water (Milan)","janbrueghel","1618","Milan","Donated to Ambrosiana by Cardinal Borromeo","provenance",
"4607","2937","Allegory of Water (Rome)","janbrueghel","1654","Paris","Garms","provenance",
"4608","2937","Allegory of Water (Rome)","janbrueghel",,"Rome","Bought for Prince Camilo Pamphilj","provenance",
"4609","2937","Allegory of Water (Rome)","janbrueghel","1819","Rome","Galleria Doria Pamphilj (Listed in Fidecommissario Catalog as ""Brueghel,"" 1819)","provenance",
"4610","2938","Allegory of Winter (Neuburg an der Donau)","janbrueghel","1716","Düsseldorf","Galerie Düsseldorf, inv. #334 as ""by Velvet Brueghel and Van Balen)","provenance",
"4611","2938","Allegory of Winter (Neuburg an der Donau)","janbrueghel","1730","Mannheim","Galerie Mannheim, inv. #10","provenance",
"4612","2938","Allegory of Winter (Neuburg an der Donau)","janbrueghel","1822 to 1939","Munich","inv. #2122","provenance",
"4613","2938","Allegory of Winter (Neuburg an der Donau)","janbrueghel","1966",,"Returned to Germany in 1966","provenance",
"4619","2940","Allegory of the Four Elements","janbrueghel","1734","Madrid","Collection of Alcazar of Madrid","provenance",
"4620","2940","Allegory of the Four Elements","janbrueghel","1747","Madrid","Retiro, inv. #138","provenance",
"4621","2940","Allegory of the Four Elements","janbrueghel","1772 to 1794","Madrid","Palacio Nuevo","provenance",
"4622","2941","Allegory of the Four Elements (Madrid)","janbrueghel",,"Madrid","La Granja","provenance",
"4623","2941","Allegory of the Four Elements (Madrid)","janbrueghel","1746","Madrid","Inventory as by Rottenhammer","provenance",
"4624","2942","Allegory of the Four Elements (Milan)","janbrueghel","1618","Milan","Donated by Cardinal Borromeo to Ambrosiana","provenance",
"4625","2943","Allegory of the Four Elements (Vienna)","janbrueghel","Before 1615","Vienna","Probably in collection of Rudolf II","provenance",
"4626","2943","Allegory of the Four Elements (Vienna)","janbrueghel","Until 1780",,"Wiener Kunstkammer of Hofburg","provenance",
"4627","2943","Allegory of the Four Elements (Vienna)","janbrueghel","1780","Bratislava","Moved to Pressburger Schloss","provenance",
"4628","2943","Allegory of the Four Elements (Vienna)","janbrueghel","1781","Vienna","Returned to the Belvedere Castle","provenance",
"4629","2943","Allegory of the Four Elements (Vienna)","janbrueghel","18th century to 19th century",,"Christian von Mechel 178, #76","provenance",
"4630","2943","Allegory of the Four Elements (Vienna)","janbrueghel","19th century",,"Eduard von Engerth 729","provenance",
"4631","2943","Allegory of the Four Elements (Vienna)","janbrueghel",,,"GNR. 906 (Cat. #1906, #1928, #1938)","provenance",
"7251","2945","Ancient Ruins","janbrueghel","19th century to 20th century","Rome","Collezione Thomas Ashby","provenance",
"6845","2947","Ancient Ruins at Baiae","janbrueghel","1753","London","Bequeathed by Sir Hans Sloane","provenance",
"4646","2948","Angels with Fruit Garland (Germany)","janbrueghel","Until 1979","United States","Private Collection","provenance",
"4647","2948","Angels with Fruit Garland (Germany)","janbrueghel","1979","London","Sale, Gallery Brod","provenance",
"4648","2948","Angels with Fruit Garland (Germany)","janbrueghel","1979","Germany","Purchased by Private Collection","provenance",
"6953","2949","The Arch of Septimus Severus Seen from the West","janbrueghel","Before 1931","Vienna","(Probably) Jurié von Lavandal","provenance",
"6954","2949","The Arch of Septimus Severus Seen from the West","janbrueghel","Jun 2 2010","Vienna","Sale, Dorotheum, Lot #142 (as ""Bartholomeus Breenbergh"")","provenance",
"6955","2949","The Arch of Septimus Severus Seen from the West","janbrueghel","2010","Munich","Sale, Katrin Bellinger Kunsthandel (Vendor)","provenance",
"6956","2949","The Arch of Septimus Severus Seen from the West","janbrueghel","2010","Munich","Bought by Metropolitan Museum with Frits and Rita Markus Fund","provenance",
"4653","2950","Archduke Albert before Mariemont Castle (Germany)","janbrueghel",,"Paris","Private Collection","provenance",
"4654","2950","Archduke Albert before Mariemont Castle (Germany)","janbrueghel",,"Paris","Gallery Leegenhoek","provenance",
"4655","2950","Archduke Albert before Mariemont Castle (Germany)","janbrueghel",,"Campione","Collection Silvano Lodi","provenance",
"4656","2951","Archduke Albrecht Before Tervueren Castle","janbrueghel","1636","Madrid","Collection of Alcazar of Madrid","provenance",
"4657","2951","Archduke Albrecht Before Tervueren Castle","janbrueghel","1819","Madrid","Transferred to The Prado","provenance",
"4658","2952","Attack by Bandits on a Forest Road","janbrueghel","Jun 16 1931","Brussels","(Probably) Sale, Fiévez, Lot #30","provenance",
"4659","2952","Attack by Bandits on a Forest Road","janbrueghel","1932","Russia","Artibus Patriae Foundation","provenance",
"4660","2953","Attack on Traveler in the Woods","janbrueghel","1885","Warsaw","Acquired from W. Kolansinski","provenance",
"4661","2954","Attack on a Convoy (Vienna)","janbrueghel","1659","Vienna","Archduke Leopold Wilhelm, inv. #405","provenance",
"4662","2955","Autumn (Braunschweig)","janbrueghel","1697","Braunschweig",,"provenance",
"4663","2956","Bacchanal","janbrueghel","Dec 3 1963","Vienna","Sale, Dorotheum, Lot #15","provenance",
"4664","2956","Bacchanal","janbrueghel","Nov 1965","London","Sale, Christie's, Lot #66","provenance",
"4665","2956","Bacchanal","janbrueghel","Jul 1 1966","London","Sale, Christie's, Lot #79 (as ""Jan I"")","provenance",
"4666","2956","Bacchanal","janbrueghel","1967","New York, NY","Gallery Shickman","provenance",
"4667","2957","Bacchanal with Silenus","janbrueghel","Until 1721",,"Gaibach Castle","provenance",
"6914","2958","Bacchus, Venus, and Ceres","janbrueghel",,"New Haven, CT","Egmont Collection, Yale Library Transfer","provenance",
"4668","2959","Bandit Encounter on the Way to Market","janbrueghel","Until 1862","St. Petersburg","Hermitage","provenance",
"4669","2959","Bandit Encounter on the Way to Market","janbrueghel","1862","St. Petersburg","Roumianzeff","provenance",
"4670","2960","Banquet of Odysseus with Calypso","janbrueghel","1821","Vienna","Bequeathed by Lamberg Collection to Academy of Fine Arts","provenance",
"4671","2961","Baptism of Christ (Cologne)","janbrueghel","Before 1990",,"Private Collection","provenance",
"4672","2961","Baptism of Christ (Cologne)","janbrueghel","May 30 1990","New York, NY","Auction, Habsburg-Feldman, Lot #30","provenance",
"4673","2961","Baptism of Christ (Cologne)","janbrueghel","Feb 22 1984","London","Sale, Sotheby's, Lot #66","provenance",
"4674","2963","Baptism of Christ (Munich)","janbrueghel","Before 1725","Munich","Acquired by Maximilian II Emanuel for the Electoral Gallery in Munich","provenance",
"4675","2964","Baptism of Christ (Private Collection)","janbrueghel","Jun 23 2010","Paris","Sale, Christie's, Lot #23","provenance",
"4676","2964","Baptism of Christ (Private Collection)","janbrueghel","Apr 13 2011","Vienna","Sale, Dorotheum, Lot #459 (as ""Jan Brueghel I and Hans Rottenhammer"")","provenance",
"4677","2964","Baptism of Christ (Private Collection)","janbrueghel","Dec 4 2012","London","Sale, Christie's, Lot #21 (for 217,250 GBP)","provenance",
"4678","2965","Baptism of the Ethiopian Eunuch","janbrueghel","1806","Düsseldorf","Galerie Düsseldorf, inv. #32 (as by Fruelen Brugel)","provenance",
"4679","2965","Baptism of the Ethiopian Eunuch","janbrueghel",,"Passau","Temporarily in Passau, where stolen and damaged","provenance",
"4680","2965","Baptism of the Ethiopian Eunuch","janbrueghel","Before 1968","Düsseldorf","Recovered and restored","provenance",
"6657","2966","Barge Moored to a Bank","janbrueghel",,"London","P.H. Lankrink with Colnaghi's (Lugt 2090)","provenance",
"6658","2966","Barge Moored to a Bank","janbrueghel","Jul 1937","Chesham","Bought by Sir Bruce Ingram (Lugt 1405a) with PD.209-1963","provenance",
"6659","2966","Barge Moored to a Bank","janbrueghel","1963","Cambridge","Bequeathed by Sir Bruce to Fitzwilliam Museum","provenance",
"4683","2968","Basket and Glass Vase of Flowers (Washington)","janbrueghel",,"Brussels","General Bruylandt","provenance",
"4684","2968","Basket and Glass Vase of Flowers (Washington)","janbrueghel","Oct 10 1967","Amsterdam","Brandt Gallery","provenance",
"4685","2968","Basket and Glass Vase of Flowers (Washington)","janbrueghel",,"London","Speelman Ltd.","provenance",
"4686","2968","Basket and Glass Vase of Flowers (Washington)","janbrueghel","1968","United States","Sale to Mr and Mrs. Paul Mellon, Virginia, 1968","provenance",
"4687","2968","Basket and Glass Vase of Flowers (Washington)","janbrueghel","1992","Washington, DC","Donated to National Gallery of Art by Mrs. Paul Mellon","provenance",
"4688","2969","Basket of Flowers (New York)","janbrueghel","Jun 24 1946 to Oct 5 1956","Hartford, CT","On loan to Wadsworth Atheneum","provenance",
"4689","2969","Basket of Flowers (New York)","janbrueghel","1967","New York, NY","Bequeathed by Miss Adelaide Milton de Groot to Metropolitan Museum of Art (as Jan Brueghel the Younger)","provenance",
"4690","2970","Battle Scene","janbrueghel","1979","Bendorf","Hardy Collection","provenance",
"7345","2971","Battle of the Amazons","janbrueghel","17th century","Genoa","Genoese noble collection","provenance",
"7346","2971","Battle of the Amazons","janbrueghel","ca. 1920","Antwerp","Purchased by Bernard Verrijken ","provenance",
"7347","2971","Battle of the Amazons","janbrueghel","ca. 1960","Antwerp","Inherited from Bernard Verrijken by grandson Emile Verrijken, Esq. ","provenance",
"7348","2971","Battle of the Amazons","janbrueghel","1993",,"Roderick LaShelle Collection ","provenance",
"4691","2972","Battle of the Amazons (Potsdam)","janbrueghel","1638","Antwerp","This is or another version with Jan Snellinck","provenance",
"8790","2973","Battle of the Amazons (Private Collection)","janbrueghel","Oct 1638","Antwerp","In estate of Jan Snellinck, cousin of Jan Brueghel","provenance",
"4692","2973","Battle of the Amazons (Private Collection)","janbrueghel","1682","Antwerp","Collection of Diego Duarte","provenance",
"4693","2973","Battle of the Amazons (Private Collection)","janbrueghel","1699",,"Inventory of Schloss Oranienburg","provenance",
"4694","2973","Battle of the Amazons (Private Collection)","janbrueghel","1710","Berlin",,"provenance",
"4695","2973","Battle of the Amazons (Private Collection)","janbrueghel","1806","Paris","Musée Napoleon","provenance",
"10062","2973","Battle of the Amazons (Private Collection)","janbrueghel",,"Belgium","Private Collection","provenance",
"10063","2973","Battle of the Amazons (Private Collection)","janbrueghel",,"London","Private collection","provenance",
"10064","2973","Battle of the Amazons (Private Collection)","janbrueghel","ca. 1965","London","Acquired by the Smith-Maxwell family","provenance",
"4696","2974","Battle of the Israelites and the Amalekites","janbrueghel","1707","Dresden","Described in ""Specificatio"" of Tobias Beutel as ""Moses und Aaron""","provenance",
"4697","2974","Battle of the Israelites and the Amalekites","janbrueghel","1817","Dresden","Dresden Collection Catalog, 1817","provenance",
"6808","2977","Boat Building","janbrueghel","1753","London","Bequeathed by Sir Hans Sloane","provenance",
"6912","2978","Boats Sailing on a River, a Country House in the Distance","janbrueghel",,"New Haven, CT","Egmont Collection, Yale Library Transfer","provenance",
"7115","2979","Boats and Canoes in the Middle of a River","janbrueghel","1695","Paris","Everhard Jabach (Lugt 2959), Inventory #144 (as Jan Brueghel II)","provenance",
"7116","2979","Boats and Canoes in the Middle of a River","janbrueghel","17th century to 18th century","Paris","Pierre Crozat","provenance",
"7117","2979","Boats and Canoes in the Middle of a River","janbrueghel","18th century","Paris","Saint-Morys, Ch. Edward JB of Bourgevin Vialart","provenance",
"7118","2979","Boats and Canoes in the Middle of a River","janbrueghel","1793",,"Seized during the French Revolution","provenance",
"7119","2979","Boats and Canoes in the Middle of a River","janbrueghel","1796 to 1797","Paris","Musée Napoléon","provenance",
"7133","2980","Boats on a Wide Tree-Lined River, Houses and Figures","janbrueghel",,"Paris","Musée Napoléon","provenance",
"4708","2982","Bouquet in a Stoneware Vase","janbrueghel","Before 1960","Munich","Adolf Weinmüller","provenance",
"4709","2982","Bouquet in a Stoneware Vase","janbrueghel",,"Switzerland","Private Collection","provenance",
"4710","2982","Bouquet in a Stoneware Vase","janbrueghel","2004","Paris","Gombe Gallery","provenance",
"4711","2982","Bouquet in a Stoneware Vase","janbrueghel","2012","Stockholm","Amelis","provenance",
"4712","2983","Bouquet in a Glass Vase (Amsterdam)","janbrueghel","1903","The Hague","Bequeathed by  A.A. des Tombe to The Hague","provenance",
"4713","2984","Bouquet in a Glass Vase (Basel)","janbrueghel","1935","Amsterdam","Galerie de Boer, inv. #40","provenance",
"4714","2984","Bouquet in a Glass Vase (Basel)","janbrueghel",,"Basel","Dr. T. Christ","provenance",
"4715","2985","Bouquet in a Glass Vase (Cologne)","janbrueghel","May 16 2008","Cologne","Sale, Van Ham Fine Art Auctions, Lot #337","provenance",
"4716","2986","Bouquet in a Glass Vase (Frankfurt)","janbrueghel","1892",,"Legat Gontard","provenance",
"4717","2986","Bouquet in a Glass Vase (Frankfurt)","janbrueghel",,,"Hardy Collection","provenance",
"4724","2989","Bouquet in a Glass Vase (New York)","janbrueghel","1942","New York, NY","Victor Spark Gallery","provenance",
"4725","2989","Bouquet in a Glass Vase (New York)","janbrueghel","Jun 5 1980","New York, NY","Sale, Christie's","provenance",
"4738","2991","Bouquet in a Sculpted Vase Beside a Wreath of Flowers (Berlin)","janbrueghel","1862","Berlin","Berlin Gemäldegalerie","provenance",
"4739","2992","Bouquet in a Small Glass Vase (Zurich)","janbrueghel","Dec 8 2004","London","Sale, Bonhams, Lot #79 (as Jan Brueghel the Younger)","provenance",
"4740","2993","Bouquet of Flowers in a Chinese Vase (Germany)","janbrueghel",,"Wingfield","Collection of Graham Baron Ash at Wingfield Castle","provenance",
"4741","2993","Bouquet of Flowers in a Chinese Vase (Germany)","janbrueghel",,"Blackburg, VA","Collection of Rev. John Arthur Rushton","provenance",
"4742","2993","Bouquet of Flowers in a Chinese Vase (Germany)","janbrueghel","Oct 4 1967",,"Sale, Christie's, Lot #155","provenance",
"4743","2993","Bouquet of Flowers in a Chinese Vase (Germany)","janbrueghel","Until 1979","France","Private Collection","provenance",
