"pid","object_pid","author","comment","post_date"
14,2884,"Jaco Rutgers","<p>This could very well be the painting mentioned in a Roman document as having been painted for Enrico Caetani, cardinale di Sermoneta (probably dating to the first months of 1593): ""scudi 22 a Giovanni Brughel pittore per un quadro dell'Incendio di Troia."" The painting is mentioned again in a 1665 inventory of the Caetani collection, and so is: un ""Inferno e quantità di diverse figure dipinte sopra rame"" (both pictures with the same dimensions, no painter mentioned though). See: Adriano Amendola, ""Jan Brueghel il Vecchio a Roma: Nuove date e qualche proposta per l'identificazione dei rami appartenuti al Cardinale Francesco Maria del Monte"", Bollettino d'Arte, serie VII, anno XCVI (2011), no. 10 (Aprile-Giugno), pp. 63-74. And there's more interesting stuff in this article!</p>","March 10, 2015"
15,2885,"E.A. Honig","<p>There is the mark of Peeter Stas, a date of 1608 and the hands of Antwerp on the back of the copper panel. </p><p>Although I am judging from a very poor reproduction, I see no reason to think that this work is in any way related to Brueghel.</p>","September 3, 2013"
16,2886,"E.A. Honig","<p>Subject from The Aeneid II, 671-729. </p><p>Numerous autograph versions, perhaps more than any other subject from the Roman years. The view of Rome (as Troy) must have made it a popular subject there. Note of course that Aeneas is considered the father of the Latin race.</p>","June 12, 2012"
17,2887,"E.A. Honig","<p>Munich 2013, p.174, suggests a later date of ca. 1597 for this work but the reasons don't seem necessary; in particular, Jan was certainly doing hell/underworld scenes before 1598. </p><p>Copy by a follower, with different staffage, formerly art market Germany 1978 (copper, 20.5 x 29.5).  Variant with quite different landscape and similar figures--rearranged--formerly art market, London (Christie's 18/19.vii.74 #219) (panel, 24 x 32)--not in Ertz. Copy accepted by Ertz as original (his 327) in private collection, copper, 18.5 x 25.5  </p><p>Related drawing in Darmstadt, Hessisches Landesmuseum, inv. #AE 397, signed and dated 1594 gives terminus post quem for this painting. Drawing too shows Castel sant' Angelo, bridge, St. Peter's, and other recognizable landmarks.</p>","April 17, 2013"
18,2887,"Paige Walker","<p>According to Louisa Ruby, Jan Brueghel ""used a similar bridge and the motif of St. Peter’s from his drawing <a href=""/janbrueghel/large-fish-market-with-self-portrait"">Large Fish Market with Self Portrait</a> and the <a href=""/janbrueghel/view-of-the-city-of-rome-with-the-tiber-castel-sant-angelo-and-st-peters"">View of the City of Rome with the Tiber, Castel Sant'Angelo and St. Peters</a> in numerous paintings, including Munich’s <a href=""/janbrueghel/large-fish-market-with-self-portrait"">Large Fish Market with Self Portrait</a> and the <a href=""/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-munich"">Aeneas Carrying Anchises from the Burning Troy (Munich)</a>""</p>","September 30, 2013"
19,2888,"E.A. Honig","<p>The story of Aeneas' flight from Troy is told in the Aeneid, 2, 671-729.</p>","June 27, 2015"
20,2890,"E.A. Honig","<p>This is a variant of the Colonna version. However, when I compare the two main figures in this work to those in the Colonna work, these are just much less well done. Moreover, this entire painting is spatially and conceptually inferior, confused and incoherent. And yet -- this is an independent composition, not just a copy by any means; so if Jan didn't do it, who did? Surely he did not have a studio in Rome that was putting together works in this way. So how to explain it?</p><p>This painting bridges the gap between the Colonna picture and the rest of the Aeneas and Sibyl pictures because it's starting to have some nude figures (specific ones that are repeated in other Aeneas scenes) but it also has the torture wheel and other Boschian stuff. When Lilian had this picture he also had, as a pendant to this, an Aeneas Saving Anchises which was dated 1593 (a date that I doubt). There is no reason that they must have been pendants originally: the two could have been brought together at any time, since almost all of Jan's works from this period are on same-sized copper plates. No Roman patron is recorded as owning both of Brueghel's subjects from the Aeneid, although that would have been perfectly logical .</p>","May 28, 2012"
21,2891,"E.A. Honig","<p>Narrative comes from the Aeneid book VI. </p><p>Note that there are two versions of this subject in Budapest, their inventory #s 551 & 553. They are frequently confused in the literature, including in Ertz 1979.  551 (the present painting) is the one where Sibyl is in the lead and 553 has Aeneas in the lead. </p><p>Previously it was thought that the figures were by Rottenhammer. that was Gerson's opinion; Freedberg too is not totally convinced by the attribution of figures to Brueghel. I believe them to be by him.</p>","June 12, 2012"
22,2892,"E.A. Honig","<p>A fascinating copy/variant of this work was painted by Frans Francken: Harting 1989, p.50 & #275a. It was exhibited Munich 2013, cat. # 39: copper, 27 x 40.8; Munich, Bayer. Staatsgem.sam., inv. #1879. This would be a very early work by Francken, before he was even a master in the guild, and suggests his strong early connections to Brueghel's studio.</p>","April 17, 2013"
23,2893,"E.A. Honig","<p>Subject is from the Aeneid, vi.269-282 </p><p>There are versions of this composition attributed to Jan the Younger in Brussels MBA (Ertz, Jan Brueghel the Younger, #130; Brussels inv. #6249); Ertz JBII #131 in Hardy Collection, Bendorf; and Ertz #132 in Antwerp, Kronacker collection.  Ertz says that these were all produced by Jan Brueghel the Younger in the 1630s, but how would such replication 30+ years later be possible?  How do we know they are that late? There is another copy in the Metropolitan Museum of Art which they too date to 1630-40 and attribute to Jan the Younger. It seems likely to me that these versions were produced at the same time as the original in Jan’s workshop. All are of the same size and on copper supports. Relatedly, the figure groupings in this work are taken from groupings that Rottenhammer had provided for Brueghel's Dresden Juno in the Underworld. However, the groups are placed now on opposite sides of the plate than they were in the Juno. Three of the men are in the lower right corner but the fourth man, who had not been tangled with the others, has been moved over to the left and lies next to the group of women. This is interesting in terms of how Jan used drawings in his studio practice. Comparing Brussels version to the present work, there are actually tons of little differences in the details. The basic larger figure groupings and the general disposition of the landscape are identical but many, many smaller figures, animals, demons, hellish machines etc. are different. It could easily be copied from a group of study drawings, for instance.  In size, the Brussels painting (also on copper) is almost identical to this one; the other two versions are very close as well.I also note that the supposed Jan the Younger painting sold by Robert Fink in 1962 is a terrible picture but is actually closer in some details to the original, has things from this work that the (better) Brussels painting does not have. Yet there are also elements in the Fink painting that seem to be from the Brussels painting (or one like it) and not from the original. How is this possible? Possibly the Brussels painting is the key secondary version from which a work like the Fink painting derives.One of these copies was sold Christies, London, July 4 1997 #239; the plate it was on had a P. Staes stamp on the back, if that helps with dating. There is also a variant in Munich (copper, 27 x 41) that Harting attributed to Frans II Francken. Clearly indeed by another hand than the rest, very odd. Harting cat. #275A, illustrated on p.51.</p>","June 4, 2012"
24,2893,"E.A. Honig","<p>Note on possible early provenance from Sotheby's:  A painting described as ""Enea condotto dalla Sibilla negli Elisei, di Brueghel d'Enfer"" is listed in the 1848 inventory of Giovanni Andrea Colonna, Rome, no. 392. By this date Brueghel's three other versions of this subject (mentioned above) are known to be in their current locations, two in the Szepmuveszeti Muzeum, Budapest, and the other in the Kaiserhaus, Vienna (later entering the Kunsthistorisches Museum). It is thus possible that the present work is identifiable with the Colonna painting. The earlier Colonna inventory of 1783, made by Filippo III Colonna, lists only a pair of works described as: ""Due Quadri di 1 1/2 per traverso, uno rappresentante Orfeo, ed Euridice all'Inferno, l'altro Enea agli Elisi = Bruguel Infernale"".  Again, the present work may be identifiable with the second of the pair, fitting both the description and the dimension (no painting identifiable with the former, depicting Orpheus and Euridice, is known today and is either lost or the subject was mis-identified by the inventory compiler). No painting specifically mentioning Aeneas appears in the 1714 Colonna inventory, but the descriptions here are, in general, extremely vague. Whether identifiable with the present work or not, the painting mentioned in the 1848 inventory may have entered the Colonna collection through marriage, which would explain its non-appearance in the 1714 inventory. On the other hand it is conceivable that Cardinal Ascanio Colonna, the artist's patron in Rome from 1592-94, commissioned it directly from Brueghel, who had returned to Antwerp two years before its execution, in 1596, and the subject is simply unidentified in subsequent inventories.</p>","June 4, 2012"
25,2895,"E.A. Honig","<p>Motifs from this painting and from the version of the same subject in Budapest (Ertz 1979 #66) are combined in the following works with the same subject: Brussels, Koninklijk Museum voor Schone Kunsten; private collection in Antwerp; picture formerly with Christie’s, London (sold 4.vii.97 #239). The quality of these works varies a great deal: the Brussels painting is very good (it is sometimes attributed to Jan the Younger) whereas the Antwerp painting seems very weak.</p>","July 30, 2012"
26,2900,"E.A. Honig","<p>Quite a lot of copies and variants of this work exist, including Ertz 1979 #303 which he now attributes to Jan the Younger. Other: Berlin, Gemaldegalerie, #688 (panel, 67.8 x 95.5); Werche A 68. Painting in French private collection. Variant in Glasgow, Art Gallery.</p><p>There has been some back and forth about both attribution and dating on this work and the Berlin version. Ertz accepts current work, attributes Berlin version to Jan the Younger. Werche says that both must be by same Brueghel and she votes for Jan the Younger; however, she says that style of figures points to date of ca. 1608. Therefore her hypothesis is that there was a lost prototype by Jan the Elder and Van Balen from ca. 1608 and both of these works must be copies from ca. 1625 by Jan the Younger and Van Balen. My impression from good photographs was that Berlin painting is not quite as good as present work, and therefore present work has some chance of being that original as Ertz now agrees (w/ earlier date).</p>","May 12, 2014"
27,2900,"Christine Quach","<p>Variant sold at Sotheby's London, November 20, 1957, #130 (panel, 52 x 86 cm); illustrated Ertz 2008-10, p. 705, fig. 343/3.</p>","July 9, 2014"
28,2902,"E.A. Honig","<p>Very close copy in Stourhead National Trust (copper, 45.7 x 64.8 cm)</p>","June 27, 2015"
29,2902,"Christine Quach","<p>Poor variants: Sotheby's, London, December 6, 1972, #44 (panel, 46 x 64 cm) and S. Gudule sale, Brussels, May 1899, #19 (panel, 45 x 62 cm)</p>","July 9, 2014"
30,2902,"E.A. Honig","<p>Very close copy in Stourhead National Trust (copper, 45.7 x 64.8 cm)</p>","June 27, 2015"
31,2902,"Christine Quach","<p>Poor variants: Sotheby's, London, December 6, 1972, #44 (panel, 46 x 64 cm) and S. Gudule sale, Brussels, May 1899, #19 (panel, 45 x 62 cm)</p>","July 9, 2014"
32,2904,"E.A. Honig","<p>The Rome ""Allegory of Air"" is part of a series of the elements which Jan Brueghel painted between 1606-1611, now in the Galleria Doria Pamphilj. See Also:</p><ul><li><a href=""/janbrueghel/allegory-of-earth-rome"">Allegory of Earth (Rome)</a></li><li><a href=""/janbrueghel/allegory-of-water-rome"">Allegory of Water (Rome)</a></li><li><a href=""/janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-rome"">Allegory of Fire: Venus in the Forge of Vulcan (Rome)</a></li></ul><p>The dating on this work has been based on comparison to the Lyon Allegory of Air of 1611, but Rikken and Smith point out that the animals in this picture are less sophisticated than those in the Lyon work and suggest an earlier date, perhaps closer to 1608. I would suggest that this is one of those cases when establishing a perfect sequence is unhelpful, and that possibly both works were initiated together and then completed at different times by different hands in the workshop.</p>","April 19, 2013"
33,2904,"E.A. Honig","<p>This is the weakest of the four panels at the Doria Pamphilj.  Possible workshop participation?  There are extra, hazy putti further back that were clearly not reserved for but just added over the sky. In general an uneven piece, as is Earth in same series.</p>","April 18, 2014"
34,2904,"E.A. Honig","<p>Copies: one formerly Richard Green, London (panel, 55.8 x 96.5), another Marseille, Mus. des Beaux-Arts.  Those are the two copies listed by Ertz and the Green one might duplicate one of those below: copy by Jan the Younger (according to Ertz) sold London (Christie's April 7, 1995 lot #11). A seriously feeble copy of this Air with other elements that don't exactly match rest of this set sold London (Sothebys 8.vii.99 #54, o/copper 42.5 x 58). There are photographs of numerous other copies at RKD:  Askol Trust (??); one sold London (Christie's June 23 1967 # 8) (panel, 56 x 96), one in bad shape sold London (Sotheby's April 4, 1984 lot #47) (panel, 56 x 96.5), awful copy attributed to Jan the Younger & van Balen sold London (Christie's May 23, 1986 #97 (panel, 55.3 x 89.5)). Copy sold London (Sotheby's April 18, 2002 #16 (panel, 54.5 x 94)) as Jan the Younger and Van Balen (seems pretty decent though damaged). This Doria Pamphili picture and the Lyons version are close to identical, although the Lyons one has some brightly-colored birds that are not in this one.  Why would that be?  And oddly, the Birds of Paradise here seem to have no legs. Surely he knew better by this time, or perhaps not in fact. Preparatory drawing in Braunschweig, Herzog Anton-Ulrich Museum, Inv. # K.K.79  (see Winner 1972).  This is related to all of the Air compositions yet is exactly followed in none of them.   There is also a sketch in Dresden, Kupferstich-Kabinett, that Winner does not accept (1961 p.231).  Moreover there is a sheet in the van Regteren Altena collection in Amsterdam that seems related to an unrealized  telescope there is here just grabbing a bird.</p>","June 27, 2015"
35,2905,"E.A. Honig","<p>This painting is part of a pair depicting the allegories of the elements. Please see <a href=""/janbrueghel/allegory-of-earth-and-water"">Allegory of Earth and Water</a></p><p>Prior to Ertz's attribution of this painting to Jan Bruehgel the Elder (Ertz 2008-10), the <a href=""/janbrueghel/allegory-of-air-and-fire"">Allegory of Air and Fire</a> and its pendant were attributed to Jan Brueghel the Younger. It's just such a poor work that I can't even believe that. Scale, space, color are all wrong.</p><p>A close copy attributed to school of Jan Brueghel the Elder (panel, 62.2 x 94 cm) in Sarasota, John and Mable Ringling Museum, cat. 1949, #229. </p><p>A variant attributed to Jan Brueghel the Younger and Frans Francken the Younger (copper, 50.3 x 64.5 cm), was sold by Christie's, London, Dec. 13, 1996, #34. </p><p>A loose variant attributed to Jan Brueghel the Elder with figures by Franz Francken the Younger (51 x 85 cm), formerly in the collection of the Bayerische Staatsgemaldesammlungen, #1997. Has been in the Filialgalerie, Landshut, since 1945.This painting contains a pendant depicting the allegories of earth and water, inv. # 1998, in the same collection. </p><p>A close copy attributed to Jan Brueghel the Elder and Frans Francken (I?) (61 x 92 cm), in the collection of the Duke of Wellington, Apsley House and Stratfield Saye. </p><p>A close copy attributed to Jan Brueghel the Elder and H. van Balen, signed ""BRUEGHEL"". In the collection of Meuwese Eras, 's-Hertogenbosch, 1919. Formerly in the collection of D. Hermsen, The Hague. </p><p>Version attrib. JBI and HvBalen, (62 x 94 cm), in the collection of C. J. Reyerse, The Hague.</p>","June 27, 2015"
36,2906,"E.A. Honig","<p>This painting has previously been attributed to Pieter Schoubroeck and Marten Ryckaert. K. Ertz first attributed this painting to Jan Brueghel the Elder in his 2008-10 Catalog. </p><p>This painting is part of a pair of pendants with the <a href=""/janbrueghel/allegory-of-summer"">Allegory of Summer</a> (Ertz 2008-10).</p>","June 27, 2015"
37,2907,"E.A. Honig","<p>The ""Allegory of Autumn"" is part of a four-part series on the seasons. Please see:</p><ul><li><a href=""/janbrueghel/allegory-of-summer-neuburg-an-der-donau"">Allegory of Summer (Neuburg an der Donau)</a></li><li><a href=""/janbrueghel/allegory-of-spring-neuburg-an-der-donau"">Allegory of Spring (Neuburg an der Donau)</a></li><li><a href=""/janbrueghel/allegory-of-winter-neuburg-an-der-donau"">Allegory of Winter (Neuburg an der Donau)</a></li></ul>","June 27, 2015"
38,2911,"Christine Quach","<p>Very good copy on panel formerly Cassirer Amsterdam, 1936. Photo in Witt Library.</p><p>Very loose copy of whole series cleverly sold by Sotheby's at same sale as variants (London, 8.vii.99 #54, all on copper laid on panel, 42.5 x 58)--attributed there to Jan the Elder's studio although neither landscape nor figures look very good. Another set of copies on canvas, 54.5 x 85.5, with Finck (Brussels), 30.xi.63 #s 46-49, clearly not very good. Yet another set on copper, 53 x 80, somewhere French (RKD page with no annotation). Set of copies by Jan the Younger on canvas, 50 x 73, sold Brussels (Finck) Nov24-Dec17, 1967.  These are monogrammed and dated 1642. Very interesting copy of Earth with a Fire that's a variant of Getty painting formerly collection Etienne Delarmay. Copy of this version of Earth with Alberts van Smizzen (??), Amsterdam, 1990. Copies of various distance from original (probably none directly from the studio of Jan the Elder):</p><ul><li>Helbing sale, Zunfthaus, Zurich February 25-26, 1924, #451 (canvas, 86 x 53 cm)</li><li>Heyden sale, Cercle Artistique, Antwerp, April 6-8, 1925, #135 (canvas, 59 x 96 cm)</li><li>Saltram House (57 x 91 cm)</li><li>Schaubroeck sale, Giroux, Brussels, May 3-5, 1927, # 322 (copper, 69.5 x 86.5 cm)</li><li>Sotheby's Monaco, December 2-3, 1988, #632 (copper, 56 x 93.5 cm)</li><li>Galerie Charpentier, Paris, April 2, 1957, #3 (panel, 56 x 96 cm)</li><li>Bearsted sale, Christie's, London, December 13, 1929, #110 (panel, 56 x 80 cm)</li><li>Simon sale, Drouot, paris, May 10, 1939, #111 (canvas, 38 x 55 cm)</li><li>Weber sale, Fievez, Brussels, July 7-8, 1926, #19 (copper, 31 x 42 cm)</li><li>Lempertz, Cologne, November 11, 1964, #156 (copper, 68 x 89 cm)</li></ul><p>Particularly bad copies of varying degree:</p><ul><li>Christie's London, December 11, 1981</li><li>Sotheby's London, March 24, 1971, #99 (panel, 52.5 x 81.5 cm)</li><li>Bevilacqua sale, Sangiorgi, Venice, October 15-22, 1900, #482 (panel, 55 x 95 cm)</li><li>Schaffer, Berlin, 1930 (48.5 x 76 cm)</li><li>Bukowski, Stockholm, November 1966, #133 (59.5 x 92 cm) </li></ul>","June 9, 2014"
39,2911,"E.A. Honig","<p>The Rome ""Allegory of Earth"" is part of a series of the elements which Jan Brueghel painted between 1606-1611. The series currently resides in the Galleria Doria Pamphilj. See Also:</p><ul><li><a href=""/janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-rome"">Allegory of Fire: Venus in the Forge of Vulcan (Rome)</a></li><li><a href=""/janbrueghel/allegory-of-water-rome"">Allegory of Water (Rome)</a></li><li><a href=""/janbrueghel/allegory-of-air-rome"">Allegory of Air (Rome)</a></li></ul><p>All these panels are quite badly warped, especially that of Fire.</p><p>This series is variant of one that has been split up (cf. Ertz #s 494, 498, 503 & 510). Also variant of full series in Lyons, formerly attributed to Jan the Younger but now accepted by Ertz as Jan the Elder.  And there's been another less good copy of whole series on art market in London. Copy of this one, Earth, in Ales, Mus. de la Ville.</p>","June 27, 2015"
40,2911,"E.A. Honig","<p>But in point of fact all of those other sets are more closely related to the Lyons version of Earth than to this one. I don't know if that is an argument for its priority or just an indication that is was more available for imitation somehow and at some time. In the RKD file Voorordening/Elements/Earth there are many photographs of versions and variants of varying degrees of quality. Some go under title ""Allegory of Abundance"" or some such. I wonder if they were originally painted as part of a series or if they were produced as independent works. Some are remarkably awful and very distant; I'd put some maybe in 18th century. They develop a completely different landscape feeling and all sorts of different landscape variations: a different castle in distance, or a scene of harvest in the fields. They do relate to both of the variants, Lyons and DP, but more to Lyons.</p>","April 17, 2014"
41,2911,"Jørgen Wadum","<p>The panel on the back show the monogram 'RB' of an unidentified Antwerp panel maker. Idem on the back of companion piece Allegory of Water (Rome).</p>","January 6, 2019"
42,2912,"E.A. Honig","<p>This painting is part of a pair depicting the allegories of the elements. Please see <a href=""/janbrueghel/allegory-of-air-and-fire"">Allegory of Air and Fire</a>.</p><p>Prior to K. Ertz's attribution of this painting to Jan Bruehgel the Elder (Ertz 2008-10), the <a href=""/janbrueghel/allegory-of-earth-and-water"">Allegory of Earth and Water</a> and its pendant were attributed to Jan Brueghel the Younger.</p><p>A version attributed to Jan Brueghel the Elder and Hendrick van Balen (60.3 x 92 cm) in the collection of the Duke of Wellington, Stratfield Saye.</p><p>Another version attributed to Jan Brueghel the Younger and Hendrick van Balen in Schloss Mosigkau, Kulturstiftung Dessau Worlitz.</p><p>A copy by Jan Brueghel (I?) and Hendrick van Balen (panel, 61.5, 94.5 cm), in Potsdam, Sanssouci, gen. cat. I 7769, #14.</p><p>A loose variation attributed to Jan Brueghel and Jan Rottenhammer sold at auction, Antwerp, April 8, 1907, #109</p><p>A version attributed to Jan Brueghel the Elder (panel, 48 x 75 cm) sold at auction in the Palais des Beaux Arts, Brussels, Oct. 11, 1948, #38.</p><p>A poor copy after Jan Brueghel the Elder on copper (60 x 93 cm), sold at auction in Berlin, Lepke, Feb. 11, 1902, # 59 as Jan Brueghel the Elder and Hendrick van Balen.</p>","June 27, 2015"
43,2913,"E.A. Honig","<p>This painting of the ""Allegory of Fire (Venus in the Forge of Vulcan)"" of ca. 1611, formerly in the collection of the Kaiser Friedrich Museum, Berlin, is either a replica of the Lyon painting of 1606, or a variation after the Rome painting of ca. 1611. Please see:</p><ul><li><a href=""/janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-lyon"">Allegory of Fire: Venus in the Forge of Vulcan (Lyon)</a></li><li><a href=""/janbrueghel/allegory-of-fire-venus-in-the-forge-of-vulcan-rome"">Allegory of Fire: Venus in the Forge of Vulcan (Rome)</a></li></ul><p>Variations and Copies</p><ul><li>Variation sold in London, Phillips 6.xii.88 #39, (panel, 45 x 82.5).  </li><li>Marseille, Musée des Beaux Arts (canvas, 87 x 119) - Mentioned in Ertz 1979.  </li><li>Sold Stockholm (Bukowski 24.xi.99 #372), (copper, 66 x 89), signed HB and dated 1659</li><li>Weak copy sold London (Christie's 3.vii.93 #5), (copper, 40 x 52)</li><li>Wead copy New York, Metropolitan (canvas, 54 x 94.5)</li><li>Copy sold Zurich (5.xii.24 #114)</li><li>Copy sold Gent (D'Hane-Steenhuyse 4.iv.1878 #1), (panel, 52 x 82)</li><li>Weak copy private collection Dortmund (canvas, 46 x 66.5)</li><li>Weak copy private collection Solmo, 1974</li><li>Copy private collection Lockerbie (panel, 62 x 98)</li><li>Copy collection Lady Exeter, Burghley House (canvas 49 x 77)</li><li>Weak copy sold Frankfurt (29.v.22 #14)</li><li>Weak copy sold Brussels (Weber 7.vii.26 #18), (copper, 31 x 42)</li><li>Probably much later copy in Saltram House (copper, 57 x 92)</li><li>Copy stolen from private collection, Antwerp (copper, 51 x 84)</li><li>Very weak copy (partial, simplified) sold Berlin (Spik) (30.x 69 #232), (copper, 28 x 38)</li><li>Weak copy collection Kazt, Dieren, in 1929</li><li>Weak copy Dublin, National Gallery of Ireland, (copper, 54 x 85) (part of four elements series there)</li><li>Weak copy private collection Paris 1954 (copper & panel (??), 56 x 72.5)</li><li>Copy private collection, Spain (exh. in Brussels 1975), (panel, 60 x 91) signed and dated 1617</li><li>Copy sold London (Sotheby's 7.iv.82 #3), (56 x 91.5)</li><li>Copy with Trafalger Galleries, London, 1975 (panel, 42 x 72) supposedly signed by Jan Brueghel and Jasper Boet</li></ul>","June 27, 2015"
44,2914,"E.A. Honig","<p>A very good close variant sold Christie's London 10.vii.98 #8.  They attribute that one to Jan and Van Balen and date it, tentatively, 1617 (the 3d digit is illegible) but I think it's a Jan the Younger product and the date is 1627.  This copy is signed by Van Balen but not Brueghel, whereas the present work is signed by Jan Brueghel and not Van Balen.  This makes sense given relative statures within each pair of painters--but this is an interesting thing in and of itself, this taking turns signing.   The Art market version is oil on panel and 53.3 x 87.</p><p>Christie's version is an interesting picture, one of those surely attributable to Jan the Younger as a knock-off of something Dad had done just a few years before his death.  In Jan the Younger's journal in 1626, there is an entry that records a Forge of Vulcan executed with Van Balen, in which (he notes) Venus is pointing to the arms of the Duke of Savoy.   In the Christie's picture what Venus is pointing to in Vulcan's shield is the arms of the king of France (Vulcan is also pointing to that coat of arms):  the arms, 3 fleurs de lys, are encircled by 2 chains, one of which is attached to the badge of the order of St. Esprit.  The rest of the armor on the ground also displays this motif.   This must have been a commission.  Catalogue (Christie's) says that the armor seems to be Milanese and to date from the second half of the 16th century.</p><p>This is the picture from which #276, that odd work in Munich, is an excerpt .  Another version of this composition is Ertz 1979, #277.   Another bad copy sold Christie's London 17.xii.99 #121 (panel, 46.5 x 84.5).  Another bad copy formerly art market somewhere in Holland (RKD photo); I think it's same as one sold Cologne (Lempertz 14.vi.41 #14, panel, 48 x 83).   Another copy sold Paris (Palais d'Orsay 24.ix.77 #28, panel, 53.5 x 88).  Awful copy sold Fievez 8.iv.30.<br />Note that there are some independent compositions that don't match any of these but are loosely based on them, like one in Kichinev, National Museum #4302 (panel, 48.8 x 73.5) which has a most active Vulcan, and a full suit of armor standing tall at left.</p>","June 27, 2015"
