"pid","label","first_name","last_name","birth_death","bio_text","bio_author","role","status_profession","order","layout","collection","thumbnail","full"
"bio19","Cardinal Granvelle","Cardinal","Granvelle","1517–1586","<p>Cardinal Granvelle, born Anthony Perrenot, was perhaps Bruegel’s most eminent patron. Born in 1517 in Besancon, Granvelle became the focus of his doting father, a chancellor under Emperor Charles V. His father’s political ambitions included the advancement of his son’s career, and due to this forceful backing, young Granvelle was educated and treated as a rising statesman. He studied at the University of Padua and was appointed the apostolical protonotary by Clement VII at the age of fourteen. Later he became the chief minister to Margaret of Parma, the regent of the Low Countries, and in 1561 he was appointed cardinal and archbishop of Mechelen. It was Granvelle’s political office in the Low Countries at this time that allowed him to make the acquaintance of Pieter Bruegel. In his palace in Brussels-- a structure that was continually enlarged to match the growth of his extensive art collection—was the studio of Jacques Jonghelinck, sculptor and brother of Bruegel’s patron, Niclaes Jonghelinck. In 1563, Granvelle acquired The Flight into Egypt, very likely through direct purchase from Bruegel. Due to religious and political tensions, however, Granvelle was forced to leave the Low Countries the following year. He died in September 1586 in Madrid, and his remains were placed in a mausoleum in the city of his birth.</p>","Cecily Manson","patron","cardinal/prelate",26,"biography_item","biographies","/img/derivatives/simple/bio19/thumbnail.jpg","/img/derivatives/simple/bio19/fullwidth.jpg"
"bio2","Infanta Isabella Clara Eugenia","Infanta","Isabella Clara Eugenia","1566–1633","<p>Infanta Isabella Clara Eugenia was the most prominent female patron of Jan Brueghel. The infanta was born on August 12, 1566 into the powerful Habsburg family. She was the eldest daughter of King Philip II and his third wife Elisabeth de Valois, who died just two years after Isabella’s birth. Subsequently, Isabella and her sister Catalina Micaela (one year her junior) were left in the care of Doña Johanna de Jacincourt, the mistress of the robes and in the latter half of Isabella’s life, her close friend. Though little is known about Isabella’s court education, she was reputed to be an adept horseman, skilled with an arquebus, and fluent in Portuguese, all of which skills endeared her to her father.</p><p>As the first-born child of King Philip II, Isabella was entitled to rule the Low Countries, but succession laws required that she take on a male consort before claiming her sovereign position. On April 18, 1599, Isabella was married to her cousin Archduke Albert of Austria with whom she ruled over the Habsburg Netherlands for more than twenty years. Had they had a child, he or she would have become sovereign of the Spanish Netherlands, but they did not. Nonetheless, the two decades of their joint rule were a momentous period characterized by their involvement in Spain’s response to the Dutch Revolt and by their formative patronage of baroque masters Jan Brueghel, and his longtime collaborative partner and friend, Peter Paul Rubens. </p><p>In fact, one of the most recognizable images of Isabella is the product of collaboration between Brueghel and Rubens; Infanta Isabella Before Mariemont Castle, was a joint project completed ca. 1615-18 during the most productive period of their collaborative career. As in most of their collaborations, Rubens was responsible for the human subject, Isabella herself, while Brueghel painted the landscape. Brueghel included in the background Mariemont Castle, one of the couple’s smaller homes but particularly beloved by the Infanta. Independently, Brueghel painted a number of scenes in which the couple interact with the Flemish peasantry, for example the Peasant Wedding Banquet with the Archdukes. These pieces have intrigued scholars for their portrayal of the sovereign figures on an intimate basis with the common population. They represented, for the rulers, a sense of mutual love between themselves and the people who worked their land.</p><p>In 1621, upon the death of her husband for whom she would later commission from Rubens the Saint Ildefonso “Altarpiece,” Isabella joined the Third Order of St. Francis as a nun. Although she wished to retire to the Convent of Poor Clares in Madrid, at the insistence of her nephew Philip IV she was reappointed to the position of Governor of the Netherlands. She held this office until her death on December 1, 1633. </p><p>So favored was she in popular memory that King Louis XIII of France wished to beatify her. Then her fame dwindled. Nearly three centuries later, in 1912, Countess Marie Hennequin de Villermont, a painter, writer, and proponent of feminist thought in the Belgian court, published the first biography of Isabella Clara Eugenia, two-volumes in length. </p>","Cecily Manson","patron","ruler/noble",27,"biography_item","biographies","/img/derivatives/simple/bio2/thumbnail.jpg","/img/derivatives/simple/bio2/fullwidth.jpg"
"bio20","Dirck Volckertszoon Coornhert","Dirck Volckertszoon","Coornhert","1522–1590","<p>Dirck Volckertszoon Coornhert was born in 1522 in Amsterdam. In 1539, he married Cornelia Symons despite the protests of his parents due to her age, lack of means, and the reputation of her sister as the mistress of count Reinoud III of Brederode according to Henk Bonger. Coornhert and his wife then moved to Haarlem, and Coornhert was soon employed by Brederode at the Batestein castle as a steward. His time at Batestein importantly affected his spiritual development as the court was quite anti-Catholic, and it was here that Coornhert first encountered the works of reformers such as Luther and Calvin.</p><p>In 1546, Coornhert moved back to Haarlem, where he worked on etchings and engravings for Maarten van Heemskerck. Coornhert also found time to write, finishing his first play the Comedie vande Rycke man [Comedy of the Rich Man] in 1550, which hints at his early religious beliefs regarding predestination, original sin and perfectability. He also wrote a treatise about the significance of ceremonies Verschoning van de Roomsche afoderije [Apology for Roman Catholic Heresy], which “made Coornhert’s ideas known abroad for the first time” (Bonger 22).</p><p>In 1561, Coornhert opened a printing office in Haarlem, which took the name Van Zuren, and Coornhert’s translation of Cicero’s De officiis was one of its first publications. Coornhert continued to translate ancient works of Seneca and Homer, making Haarlem into a thriving center for the Renaissance. Coornhert’s friends included the celebrated geographer Abraham Ortelius, who was a friend of Pieter Bruegel. Since Coornhert worked for Hieronymus Cock in the 1550s when he moved to Antwerp, as did Bruegel during that time, it is generally supposed that the two artists were acquainted. Some writers have argued that Bruegel shared Coornhert’s religious views. Certainly, he praised Bruegel’s work in a letter to Ortelius after receiving “an engraving by Philips Galle based on Bruegel’s Death of The Virgin” in 1578 (Bonger 28).</p><p>Coornhert became secretary for the government in Haarlem, traveling on business for the city and for Prince William of Orange. As a result of political and religious turmoil, Coornhert fled Haarlem three times into exile, finally returning in 1576. Coornhert then engaged in a series of private and public debates on various theological subjects. Meanwhile, Coornhert continued writing, and after a brief stay in Emdem, Coornhert wrote his most famous book Zedekunst [Ethics] in 1585. Finally at the age of sixty-eight, Coornhert passed away in Haarlem. </p>","Kelsey Schiedermayer",,"scholar",52,"biography_item","biographies","/img/derivatives/simple/bio20/thumbnail.jpg","/img/derivatives/simple/bio20/fullwidth.jpg"
"bio21","Pieter Coecke van Aelst","Pieter","Coecke van Aelst","1502–1550","<p>While few works that bear his signature remain, Pieter Coecke van Aelst (1502 or 1507 – 1550) left a significant impression on the art of Northern Europe. Regarded by contemporaries as a polymath and purveyor of intellectual and artistic advancements, the painter, sculptor, and designer of woodcuts, tapestries and stained glass was credited as one of the first to bring to the North the ideals of the Italian Renaissance.</p><p>Van Aelst’s wives provided two of his most profound links in the artistic community. His first wife was the daughter of the painter Jan Mertens, who may have been Van Aelst’s teacher. Mayken Verhulst, his second wife and Pieter Bruegel’s mother-in-law, has been credited with teaching Bruegel the technique of painting with tempera on cloth. In his biography of Van Aelst, Karel van Mander named him as the Bruegel’s principal teacher and this was long accepted as true, but consideration of stylistic disparity has lead some recent scholars to reject that claim. Additionally, this hypothesis lacks material substantiation as Bruegel is not recorded in Van Aelst’s list of apprentices in the Guild of Saint Luke.</p><p>In 1533-34, Van Aelst travelled to Constantinople. In 1546 he moved from Antwerp to Brussels and was appointed court painter to Emperor Charles the V a few years later. He died on December 6, 1550, the same year he received this official title. Many of the works he created for church interiors only briefly survived him, and were destroyed in the iconoclastic riots of the 1560s.</p>","Cecily Manson",,"painter",10,"biography_item","biographies","/img/derivatives/simple/bio21/thumbnail.jpg","/img/derivatives/simple/bio21/fullwidth.jpg"
"bio22","Hieronymus Cock","Hieronymus","Cock","1518–1570","<p>The records of the Guild of Saint Luke in Antwerp show that Hieronymus Cock was admitted to the guild in 1546; the date suggests that he was born in around 1520. He and his brother Matthys were sons of the painter Jan de Cock who is recorded as having accepted pupils in 1506 and 1516. Matthys was the elder given that he accepted a pupil in 1540, six years before Cock was received as a master in the guild. The date given by Van Mander for Cock’s death, 1570, is confirmed by a document published by Rombouts and Van Lerius. According this this source, he died on October 3rd and was buried in the Predikherenkerk in Antwerp.</p><p>Presumably Cock was trained as a painter in his father’s shop and, after his father’s death, that of his brother. He was received into the guild as a painter, but we know no paintings by his hand. He was the designer of sixty-two etchings, however, and is even more famous as the proprietor of the printing house as of 1550 known as “The Four Winds.”</p><p>Indeed, examination of Cock’s prints suggests that even this aspect of his artistic output was subordinate to the needs of his publishing business. Of the sixty-two etchings which he produced beginning in 1548, forty date from the years 1550-51 when his business was just beginning. The remaining appeared at the rate of one or two a year until 1558, when the set “Landscapes with Biblical and Mythological Scenes” closed Cock’s career as an etcher. As a publisher, Cock’s responsibility was to bear the business’s financial risks and political and social accountability. In doing so successfully, Cock became immensely wealthy, purchasing one house after another.</p><p>Van Mander praised Cock as being himself an inventive landscapist. Landscape was also the first field in which he published the designs of Pieter Bruegel. In 1554, Pieter Bruegel’s landscape drawing (without figures) was adapted by Cock for an etched narrative, “Landscape with the Temptation of Christ.” Between 1555 and 1557, Cock produced a series of landscapes after Bruegel designs, the so-called “Large Landscapes.” Most of these were based on drawings Bruegel had made of mountainous landscapes during his trip to Italy.</p><p>During the 1550’s Bruegel made a variety of designs for Cock. These included religious and allegorical subjects (the famous Seven Virtues and Seven Vices series) and subjects pertaining to human folly and proverbial wisdom. Bruegel’s prints for Cock often partake of the satirical vernacular verbal structures of urban Antwerp. </p>","Ashley Jerbic",,"painter",9,"biography_item","biographies","/img/derivatives/simple/bio22/thumbnail.jpg","/img/derivatives/simple/bio22/fullwidth.jpg"
"bio23","Giulio Clovio","Giulio","Clovio","1498–1578","<p>Born just before the turn of the sixteenth century in Croatia , Giulio Clovio (1498-1587) is one of the most famous and accomplished miniature painters and illuminators of the Italian Renaissance. In around 1516, Clovio moved to Italy, a crucial step in launching his artistic career. He first worked in Venice, serving the Cardinal Domenico Grimani. Under Grimani’s patronage, Clovio had the opportunity to go to Rome, and it was there that he met fellow painter Giulio Romano and was exposed to other great artists of the time.</p><p>Clovio’s works marry monumental figures to a miniature scale and incorporate the level of detail usually associated with northern artists. Clovio was specifically influenced by the works of Michelangelo and Albrecht Dürer. Clovio served King Louis II and Queen Maria of Hungary, and then Cardinal Campeggio until the sack of Rome in 1527. After being taken prisoner by the troops of Charles V, Clovio escaped and fled to Padua to become a Benedictine having, according to Vasari, vowed to join a monastery if God would deliver him from the Spaniards. Clovio briefly returned to the service of Cardinal Grimani, but in 1540, he began to work for his final patron, Cardinal Alessandro Farnese. While serving Cardinal Farnese, Clovio produced what is held by many to be his great masterpiece, Farnese Hours (1546).</p><p>In 1553, Clovio briefly returned to Rome where he met Pieter Breugel. The two are thought to have collaborated on the Towneley Lectionary. Clovio returned to Florence, working under the patronage of Cardinal Farnese until Clovio’s death in 1578. Known for his miniatures, Giulio Clovio was a brilliant painter, who, according to Vasari, produced in his paintings some of the “greatest things that mortal hand could do or mortal eye could behold” (Vasari 249). Clovio’s own personal collection also contained the work of contemporary masters. His 1577 inventory includes four paintings by Pieter Bruegel, all now lost, “the View of Lyons, […] a Tower of Babel painted on ivory, a study of a tree on linen, and a miniature on which the two painters had collaborated.</p>","Cecily Manson",,"painter",8,"biography_item","biographies","/img/derivatives/simple/bio23/thumbnail.jpg","/img/derivatives/simple/bio23/fullwidth.jpg"
"bio24","Hieronymus Bosch","Hieronymus","Bosch","c. 1450–1516","<p>Hieronymus Bosch was born as Jeroen van Aken in around 1450 to a family of established artists. His father was Antonius van Aken and his grandfather was Jan van Aken. Little is known about Bosch’s early life but he was probably trained as a painter by a family member. In his early thirties, he married Aleyt van den Mervenne, a wealthy woman from a prominent family, which suggests that his own family was also socially well-situated. Eventually, he adopted the pseudonym Hieronymus Bosch, probably referring to his home town of ‘s-Hertogenbosch or Den Bosch.</p><p>In 1488, he became a sworn member of the Brotherhood of Our Lady, a religious organization in 's-Hertogenbosch. His membership proved pivotal to his artistic career, as his first commissions came from the Brotherhood. He would go on to secure a number of other commissions through his connections with the Brotherhood and would become a leading artist in the region. He died and was buried in 1516 in the same town where he was born. His art had a strong impact on his contemporaries and on the generations of artists that followed.</p><p>Bosch’s interpretation or representation of religion appears very different from that of his contemporaries. Indeed, his distinct perspective played a significant role in the endurance of his art into modern times. Bosch viewed mankind with a pessimistic eye and evidently believed that most humans could not be saved. As a result, his works are often moralizing and he is well-known for his damning depictions of vice and sin, which were meant to reflect the folly of humanity’s inherently excessive and impulsive nature. He also occasionally moved away from explicitly Christian scenes, opting instead for secular yet still moralizing subjects. Bosch was especially interested in condemning what he considered to be base social actions. Some of his beliefs were inspired by Christian doctrine, such as his criticism of gluttony and greed. But he also critiqued habits more common in daily Netherlandish life, such as laziness, drunkenness, and lawlessness. He was especially critical of lust and sexuality, which he depicted as the culmination of mankind’s inclination towards indulgence of bodily pleasures.</p><p>Bosch’s formal and iconographical techniques also distinguish him from other sixteenth-century artists. He reworked traditional, even vernacular symbols to express religious and ethical views. He populated his paintings with invented symbolic characters meant to represent some virtue or vice of daily life. He used criminals, low-class workers, and prostitutes to represent the moral failings of humanity, but he also included figures of virtue to contrast with these. He favored hermit saints, whose ascetic lifestyle was something to be praised. Bosch is also well-known for his fantastical creatures and his outlandish depictions of Hell. However, even these images are a result of his moral attitudes. His work is especially characterized by eschatological thinking.</p><p>Bosch left a significant impact on the Netherlandish art world and was influential to artists like Pieter Bruegel the Elder. Bruegel was born about a decade after Bosch’s death and was exposed to Bosch’s style and themes early in his artistic career. This is especially evident in his early engravings, in which he imitated Bosch’s methods of invention, particularly his signifying fantastical creatures. He was also inspired by Bosch’s religious themes. The impact of Bosch’s secular art can also be found in Bruegel’s genre imagery. Like Bosch, Bruegel populated his art with common people and scenes of their everyday lives. Bosch also influenced Bruegel’s son, Jan Brueghel the Elder, and his artwork. Though the younger Brueghel operated in a vastly different art market than his predecessors, one now dominated by wealthy collectors, he still employed many of Bosch’s distinctive techniques. This includes Bosch’s peculiar depictions of Hell and its weird creatures, often reimagined in a Classical context for Brueghel’s elite audience.</p>","Ximena Valdarrago",,"painter",2,"biography_item","biographies","/img/derivatives/simple/bio24/thumbnail.jpg","/img/derivatives/simple/bio24/fullwidth.jpg"
"bio25","Archduke Ernest of Austria","Archduke","Ernest of Austria","1553–1595","<p>Born in 1553, Archduke Ernst of Austria was the son of Holy Roman Emperor Maximilian II and Maria of Spain, herself the daughter of Holy Roman Emperor Charles V and Isabella of Portugal. He was their second son, following his brother Rudolf II. When he was ten years old, he and his brother were sent to Spain for education, where the pair remained until 1571. A year later, Ernst was chosen as the Habsburg candidate for election to the Polish-Lithuanian throne, which he subsequently lost. In 1576, Ernst was appointed as the Governor of Austria, where he served until his second attempt at the elected throne of Poland-Lithuania in 1587. He lost again. Reeling from this additional rejection, the Habsburg returned to Austria to become the Governor of Inner Austria in 1590 and the Duke of Mansfield in 1593. In 1594, he was appointed the Governor of the Netherlands, a position he served in until his death in the following year., During that brief period, Ernst acquired many works by Pieter Bruegel the Elder as gifts from the Antwerp City Council. Nicolaas Jongelinck’s collection, which included “sixteen pieces by Bruegel, among which a Tower of Babel, a Carrying of the Cross, and The Twelve Months,” had been given to the city magistrates as collateral for tax debts, and Ernst received six of these panels, The Twelve Months, in July of 1594.On February 20th, 1595, the Archduke died in Brussels.</p>","Saffron Sener","patron","ruler/noble",20,"biography_item","biographies","/img/derivatives/simple/bio25/thumbnail.jpg","/img/derivatives/simple/bio25/fullwidth.jpg"
"bio26","Albert VII, Archduke of Austria","Archduke of Austria","Albert VII","1598–1621","<p>The fifth son to Holy Roman Emperor Maximilian II and Maria of Spain, herself the daughter of Holy Roman Emperor Charles V and Isabella of Portugal, Albrecht (or Albert) of Austria was born on November 13, 1559. Expected to pursue a clerical career, he was sent to Spain for an ecclesiastical education under King Philip II at age eleven. In 1577, the then-eighteen year old was appointed cardinal by Pope Gregory XIII. It was intended that Albrecht become the Archbishop of Toledo, but the position did not open to succession until 1594, over ten years after Albrecht had become First Viceroy of Portugal and its overseas empire as well as the country’s Papal Legate and Grand Inquisitor.</p><p>In 1593, he left Portugal to take a leading role in the Spanish monarchy as the head of the Junta de Gobierno, a political collective that Philip II created to train his son, Prince Philip, in the workings of the monarchy so he could take over when his father grew too old. Albrecht remained in this position until 1595, when his brother, Archduke Ernst, died. He was then sent to Brussels to succeed him as Governor General of Habsburg Netherlands. In 1598, the now Archduke Albrecht resigned from the cardinalate and a year later he married the Infanta Isabella Clara Eugenia, his cousin. The couple became avid patrons of the arts, appointing Jan Brueghel the Elder as their court painter in 1606. Unfortunately they had no children to succeed them in ruling The Netherlands. On July 31, 1621, Archduke Albrecht died, and his wife continued as sole governor until her own death. </p>","Cecily Manson","patron","ruler/noble",0,"biography_item","biographies","/img/derivatives/simple/bio26/thumbnail.jpg","/img/derivatives/simple/bio26/fullwidth.jpg"
"bio27","Francesco Maria del Monte","Francesco Maria","Del Monte","1549–1627","<p>Francesco Maria del Monte was an Italian cardinal, diplomat, art collector, and patron. Born in Venice in 1549, del Monte was the son Marquis Ranieri Bourbon del Monte and Minerva Pianosa. He came from a noble family from Pesaro with distant relations to the French royal House of Bourbon. Young Francesco Maria was educated at the court of Urbino and obtained a doctorate in law before beginning an ecclesiastical career as the Abbott commendatario of Santa Croce a Monte Fabali. In 1570, at the age of 21, Francesco moved to Rome. For the next decade, he worked in the courts of several Roman cardinals before arriving at the court of Cardinal Ferdinando de Medici in 1581. He was in his service until Medici resigned as cardinal to assume the position of Grand Duke of Tuscany. With Medici’s recommendation, Pope Sixtus V appointed Francesco as cardinal in 1588. Francesco took up residence in the Palazzo Madama, owned by Medici, in 1589. He served from 1606 to 1616 as the Prefect of the Sacred Congregation of the Council, and then became Prefect of the Sacred Congregation of Rites. He was also a prefect of the Fabbrica of St. Peter’s, a committee responsible for the basilica’s building.</p><p>Francesco interests outside his church career included alchemy and science. Along with his brother Guidobaldo, a mathematician, he helped Galileo get a professorship at the University of Pisa and defended him during the Inquisition. However, Francesco is best known for his patronage of the arts. As Cardinal, he was protector of the Sistine Chapel choir and the Congregazione dei Musici. He succeeded his friend Federico Borromeo as Cardinal Protector of the Accademia di S. Luca in Rome in 1595. Del Monte was also the first major patron of Caravaggio, whose naturalist style he favored. The first two works he acquired by the artist, The Gypsy Fortune-Teller and The Cardsharps, still exist today, as do many others he would acquire throughout his lifetime.</p><p>Francesco was connected with many the other major patrons, including the Medici family, Cardinal Benedetto Giustiniani, and Cardinal Federico Borromeo. Although he owned works by fifteenth-century old masters, he was known for his support of contemporary art, a patron of artists such as Simon Vouet, Antiveduto Grammatica, Andrea Sacchi, and Gerrit van Honthorst. Like his contemporary Borromeo, he was also an early patron of Flemish landscape painter Jan Brueghel. He would come to own at least seventeen paintings by Brueghel. The first inventory of his art collection, done a year after his death in 1626, lists a total of 599 paintings, many of them displayed in the Palazzo Madama. The majority of these were portraits, religious themes, and landscapes. One third were works by old masters, including Leonardo, Raphael, and Titian. The rest were all by contemporary artists. This vast and varied collection built over a lifetime- now dispersed in museums and other private collections- ensured Francesco’s position as a major patron and, in fact, his monument boasts that he was an “excellent patron of the good arts”. </p>","Ximena Valdarrago","patron","cardinal/prelate",30,"biography_item","biographies","/img/derivatives/simple/bio27/thumbnail.jpg","/img/derivatives/simple/bio27/fullwidth.jpg"
"bio28","Jan van Kessel (I)","Jan","Van Kessel (I)","1626–1679","<p>Jan van Kessel was born in April 5th, 1626 to Hieronymus van Kessel and Paschasia Brueghel. His father was an accomplished animal painter and a member of the St. Luke’s Guild, which gave his son early exposure to the art world. However, it was through his mother’s family that van Kessel had access to the full range of European artistic methods and training. She belonged to the Brueghel family of artists and was the grand-daughter of Pieter Brueghel the Elder, daughter of Jan Brueghel the Elder, and sister of Jan Brueghel the Younger. Van Kessel’s father left Antwerp in 1636 and his nine-year old son remained to be trained by Simon de Vos and his uncle, Jan II Brueghel. In 1644, when he was nineteen, he joined Antwerp’s St. Luke’s Guild himself, registering as a flower painter. In 1655, he married Maria van Apshoven. The couple would go on to have thirteen children and at least two of van Kessel’s sons, Ferdinand and Jan II, would become painters. Van Kessel produced works for the rest of his life, until his death in 1679, at age fifty-three.</p><p>Though van Kessel’s art is not entirely defined by his family, the Brueghel legacy did have a significant impact on him. Trained by his uncle, Jan the Younger, he was exposed to the Brueghel style, which carried much weight in European art markets. Van Kessel used this to his advantage by adopting some family motifs and themes at the beginning of his career. But while his uncle’s works were often direct copies of his famous father and grandfather, Van Kessel moved away from this practice as he grew older, reworking the past and adding new themes to his family’s legacy. The best example of this is his initial choice to specialize in flower and garland painting, a genre closely associated with his grandfather, Jan Brueghel the Elder. These early works allowed him to establish himself as a talented artist in the Brueghel lineage, and also gave him the opportunity to collaborate with major artists in Antwerp, some of whom were friends of his family. But Van Kessel quickly branched out to new subject matters and would go on to explore landscapes, religious themes, and allegorical subjects.</p><p>At the height of his career, van Kessel produced the miniature scale paintings which would become some of his most enduring works. The small pictures were done on copper and featured subject matter such as insects, shells, and animals. Their diminutive scale emphasized van Kessel’s extreme attention to detail, further highlighted by his deft brushwork and composition. He was especially praised for his depictions of insects and his almost scientifically accurate observations of their bodies. Van Kessel’s miniatures were meant to be seen together and his series sometimes numbered as many as forty individual pieces, placed together to form a single thematically cohesive work. One of these series is The Four Parts of the World (Munich, Alte Pinakothek) in which van Kessel depicts the continents of Africa, Asia, Europe, and America. Each part is made up of one large painting, surrounded by smaller images, each representing an aspect of the region. Van Kessel would complete many such allegories during his lifetime. They earned him acclaim in his own right, independent of his family, and firmly established his place in the European art world. Today, about five hundred works can be attributed to him.</p>","Ximena Valdarrago",,"painter",44,"biography_item","biographies","/img/derivatives/simple/bio28/thumbnail.jpg","/img/derivatives/simple/bio28/fullwidth.jpg"
"bio29","Pieter van der Heyden","Pieter","Van der Heyden","ca. 1530–1572","<p>Pieter van der Heyden is a sixteenth-century Flemish printmaker.</p>",,,,43,"biography_item","biographies","/img/derivatives/simple/bio29/thumbnail.jpg","/img/derivatives/simple/bio29/fullwidth.jpg"
"bio3","Jan Snellinck","Jan","Snellinck","c. 1548–1638",,,,,37,"biography_item","biographies","/img/derivatives/simple/bio3/thumbnail.jpg","/img/derivatives/simple/bio3/fullwidth.jpg"
"bio30","Cornelis Schut","Cornelis","Schut","1597–1655","<p>Cornelis Schut was a Flemish artist skilled in oil painting, engraving, and tapestry design who worked mostly in Antwerp. He specialized in religious and mythological scenes, many of which depicted popular Counter-Reformation subjects. He was one of the leading Flemish history painters of the early 17th century and is presumed to have trained under Rubens. </p><p>Schut became a master of the Antwerp Guild of St. Luke in 1618, though he apparently never registered as an apprentice (Rubens was not required to register his pupils with the Guild). Later that same year, Schut departed Antwerp for Italy, where he was a founder of the Bentvueghels, an association of Dutch and Flemish artists who worked in Rome. In 1630, he became a member of the Wallflower rhetorical society. </p><p>The Catholic Church was one of Schut’s biggest patrons, and he worked on altarpieces very often. He also worked on the decorative project for the Royal Entry of the Cardinal-Infante Ferdinand in 1635 in both Antwerp and Ghent. Additionally, Schut collaborated with several of his contemporaries, as was common in 17th-century Antwerp, particularly on garland paintings, which had been popularized by Jan Brueghel the Elder. </p><p>While working in Rome in 1627, Schut was imprisoned for the murder of fellow artist named Giusto. The Accademia di San Luca intervened and Schut was freed shortly after. In 1631, Schut married Catharina Gheenssins. She died in 1637 and he remarried the next year to Anastasia Scelliers. He had seven children altogether, two of whom died young. </p>","Rigby Philips",,"painter",35,"biography_item","biographies","/img/derivatives/simple/bio30/thumbnail.jpg","/img/derivatives/simple/bio30/fullwidth.jpg"
"bio31","Daniel Seghers","Daniel","Seghers","1590–1661","<p>Daniel Seghers was a Flemish painter who worked mostly in Antwerp. After the death of his father, the silk merchant Pierre Seghers, Daniel and his mother moved to the northern Netherlands and took on the Calvinist faith. While he may have begun his training in the North, Seghers returned to Antwerp and Catholicism as a young man.</p><p>Seghers became a master in the Antwerp Guild of St. Luke in 1611, having trained under Jan Brueghel the Elder. He entered the Jesuit order in 1614. In 1625, Seghers became a Jesuit priest and began signing his works as Daniel Seghers Societatis Jesu. After his ordination, Seghers spent two years in Rome, but he moved back to Antwerp in 1627 and worked as a flower painter at a monastery until his death. </p><p>From his teacher Jan Brueghel, Seghers took up the practice of garland painting, always a distinctly Flemish form. It became his specialty. His garlands encircled images by Antwerp colleagues like Thomas Willeboirts Bosschaert, Cornelis Schut, and Gonzales Coques.</p><p>Seghers’s flower pictures are considered part of the Jesuit Order’s Counter-Reformation campaign. He and his collaborators emphasized the devotional characters of the main images, and the theologians of his Order believed Segher’s garlands aided worship of the figures they surrounded. </p>","Rigby Philips",,,36,"biography_item","biographies","/img/derivatives/simple/bio31/thumbnail.jpg","/img/derivatives/simple/bio31/fullwidth.jpg"
"bio32","David Teniers the Younger","David","Teniers the Younger","1610–1690","<p>A Flemish painter and engraver, David Teniers (the Younger) was born on December 15, 1610 in Antwerp. As the first son of painter David Teniers the Elder and Dymphna Wylde, he was involved with art by the age of sixteen when he began formally studying under his father. Developing specializations in religious themes, rustic and landscape scenes, and interior pieces, by 1633 he had become a master in the Antwerp Guild. Four years later, on July 4, 1637, he married Anna Bruegel, the daughter of Jan Brueghel the Elder; through this marriage, he grew close to the Brueghel family and their important connections, like fellow Flemish artist Peter Paul Rubens. It was during this time that he engaged in artistic collaborations with his brother in law, Jan Brueghel the Younger; a prominent example of this is the 1642 Armorer’s Shop, in which Teniers painted the overall scene, including the armorer and his shop, and Brueghel painted the details of armor that lay near their creator. Throughout the 1640s and beyond, Teniers’ standing as a successful artist increased greatly: in 1644, he became the dean of the St. Luke Guild in Antwerp and in 1650 Archduke Leopold Wilhelm of the Spanish Netherlands named him court painter. In this position, he curated and maintained Wilhelm’s collection, expanding it to contain about 1,300 pieces, featuring works of famous Italian masters such as Raphael and Titian. Teniers also incorporated pieces by famed Northern artists, mixing works by Pieter Bruegel the Elder and Jan van Eyck into the collection. On May 11, 1656, his wife Anna died; within a year Teniers remarried, wedding Isabella de Fren with whom he had four children. He left his position as court painter in 1659. Four years later, in 1663, Teniers founded the Antwerp Academy to teach students Flemish styles of drawing and sculpture; as he grew older, he also worked as an art dealer and an organizer of auctions. He died on April 25, 1690 at age 80.</p>","Saffron Sener","collaborator","painter",39,"biography_item","biographies","/img/derivatives/simple/bio32/thumbnail.jpg","/img/derivatives/simple/bio32/fullwidth.jpg"
