"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","accession_nos_and_notes","private_collection_info","most_recent_sale","collection_type","realdate","numeric_date","medium","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","provenance","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","discussion","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","pieterbruegel_item","order","permalink"
9989,"The Wedding Procession","Painting","Urban, Common and Peasant Life","Wedding|Village|Windmill|Farm|Field|Forest|Crowd|Road|Wagon",,61.5,114,,"Belgium","Brussels","Musée de la Ville de Bruxelles","K 1966/1",,,"Public",,,"Oil","Panel",,,,,,,,,,,,,,,,,"Sellink: rejected.","Seipel 1998, p. 160|Ertz 1998, pp. 86-87|Ertz 2000, vol. 2 p. 702",,,,,,,,,,,"Almost universally rejected, but the city of Brussels maintains that it may be an authentic work| possibly attributed to Jan the Elder by Ertz",,,,"img/derivatives/simple/9989/thumbnail.jpg","img/derivatives/simple/9989/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-wedding-procession"
9990,"The Sermon of Saint John the Baptist","Painting","Religious","Preaching|Infanta Isabella|Forest|Mountain|River|Crowd|Non-Westerners|John the Baptist|New Testament",,95,160.5,,"Hungary","Budapest","Szépművészeti Múzeum",51.2829,,,"Public",1566,1566,"Oil","Panel",,"BRUEGEL / MD.LXVI","Lower right",,,,,,,,,,,,,,"Sellink, cat. #153: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Budapest 1968, pp. 101-03|Gibson 1977, p. 144|Marijnissen 1988, pp. 304-07|Roberts-Jones 2002, pp. 251-55|Marijnissen 2003","Hungary, Millenary Exhibition, 1896, Exhibition of Art from private Hungarian castles and collections, Szombatherly, 1912, Loaned from collection of Count Iván Batthyányi which was housed in his palace in Nagycsákány",,,,,"9406|9407",,"Copied by Pieter Brueghel the Younger",,,"Possible provenance from Micheal Auner that painting was in Hungary from 1569-70 as part of private collection of Hungarian Batthyányi family. Another possible provenance is that painting is part of Infante Isabella's collection, mentioned in the inventory of Coudenberg palace in Brussels as ""predicatie van St Jan""; however, there is a discrepancy in the size of the canvas. Mentioned by Antwerp art collector Peeter Stevens in the margins of his copy of Van Mander's Schilder-Boeck, between 1625 and 1668.",,"Szépmüvészeti Museum","http://www.szepmuveszeti.hu/adatlap_eng/the_sermon_of_saint_john_9633","img/derivatives/simple/9990/thumbnail.jpg","img/derivatives/simple/9990/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-sermon-of-saint-john-the-baptist"
9991,"The Wedding Dance","Painting","Urban, Common and Peasant Life","Dancing|Wedding|Crowd","42D253",119.4,157.5,,"United States","Detroit, MI","Detroit Institute of Arts Museum",30374,,,"Public",1566,1566,"Oil","Panel",,"M.D.LXVI.","Lower right",,,,,,,,,,,,,,"Sellink, cat. #151: accepted.","Scheyer 1965|Gibson 1977, pp. 159-62|Marijnissen 1988, pp. 293-95|Gibson 1991, pp. 11-52|Roberts-Jones 2002, pp. 256-60","Chicago, Century of Progress Exhibition, 1933,  nr. 34, Brussels, Cinq Siècles d'Art, 1935,  nr. 137, New York, Masterpieces of Art, 1939, nr. 25, San Francisco, Golden Gate International Exposition, 1940, nr. 129, Chicago, Art of the United Nations, 1944-45",,,,,9522,,,,,,,"Detroit Institute of Arts Museum","http://www.dia.org/object-info/d33ac9fb-e03b-4287-923e-c5e42b7f65e6.aspx","img/derivatives/simple/9991/thumbnail.jpg","img/derivatives/simple/9991/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-wedding-dance"
9992,"The Magpie on the Gallows","Painting","Landscape","Dancing|Death|Birds|Castle|Church|Village|Watermill|Forest|Mountain|River|Staffage",,45.9,50.8,,"Germany","Darmstadt","Hessisches Landesmuseum",,,,"Public",1568,1568,"Oil","Panel",,"BRUEGEL","Lower right",,,,,,,,,,,,,,"Sellink, cat. #167: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 193-95|Marijnissen 1988, pp. 370-75|Gibson 1989, p. 75|Kavaler 1999, pp. 217-33|Budnick 2000|Roberts-Jones 2002, pp. 177-79|Wiemann 2005-06, p. 8",,,,,,9408,,,,,,,,,"img/derivatives/simple/9992/thumbnail.jpg","img/derivatives/simple/9992/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-magpie-on-the-gallows"
9993,"Peasant Couple Attacked by Robbers","Painting","Urban, Common and Peasant Life","Robbery|Traveling|Field|Forest",,96,128,,"Sweden","Stockholm","Stockholms Universitets",,,,"Public",,,"Oil","Panel",,"M.D.LX VII/ BRUEGEL","Lower right",,"Original inscription of ""P. Brueghel/1630"" in lower right hand corner removed in 1971 restoration when ""M.D.LX VII/ BRUEGEL"" signature discovered underneath.",,,,,,,,,,,,"Sellink, cat. #X8: rejected., Accepted. Grossmann 1980.","Darling 1976|Roberts-Jones 1980, p. 7|Gibson 1991, p. 44|Wied 1997-98, pp. 10-13|Seipel 1998, p. 159|Weibull 1999|Ertz 2000, vol. 2, pp. 775-86, 792-94|Allart 2001, p. 53",,,,,,,,,,,,,,,"img/derivatives/simple/9993/thumbnail.jpg","img/derivatives/simple/9993/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/peasant-couple-attacked-by-robbers"
9994,"The Adoration of the Kings","Painting","Religious","Donkey|Bethlehem|Crowd|Non-Westerners|Christ|Holy family|New Testament|Virgin Mary|Armor|Jewels","73B57",111.1,83.2,,"England","London","National Gallery",,,,"Public",1564,1564,"Oil","Panel",,"BRUEGEL . M . D . LXIIII","Lower right",,,,,,,,,,,,,,"Sellink, cat. #130: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","London 1968, pp. 21-22|Gibson 1977, pp. 133-34|Marijnissen 1988, pp. 233-35|Pinson 1994|Müller 1999, pp. 126-34",,,,,,9409,,,,,"Oak panel. Recently published cat from National Gallery-- The Sixteenth Century Netherlandish Paintings with French Paintings before 1600’ by Lorne Campbell",,"National Gallery","http://www.nationalgallery.org.uk/paintings/pieter-bruegel-the-elder-the-adoration-of-the-kings/*/key-facts","img/derivatives/simple/9994/thumbnail.jpg","img/derivatives/simple/9994/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-adoration-of-the-kings"
9995,"Landscape: A River Among Mountains","Painting","Landscape","Mountain|River",,50.8,68.6,,"England","London","National Gallery",,,,"Public",1600,1600,"Oil","Panel",,,,,,,,,,,,,,,,,"National Gallery of Art website as imitator of Pieter Bruegel","L. Campbell, ‘National Gallery Catalogues. The Sixteenth Century Netherlandish Schools’, London (forthcoming)",,,,,,9410,,"Similar work after Pieter Bruegel the Elder, ‘River Landscape with Draftsman’, about 1553, Musée des Beaux-Arts et d'Archéologie, Besançon",,,"Poplar panel. Online article about attribution: http://www.nationalgallery.org.uk/paintings/research/landscape-a-river-among-mountains",,"National Gallery","http://www.nationalgallery.org.uk/paintings/imitator-of-pieter-bruegel-the-elder-landscape-a-river-among-mountains/*/key-facts","img/derivatives/simple/9995/thumbnail.jpg","img/derivatives/simple/9995/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/landscape-a-river-among-mountains"
9997,"The Flight into Egypt","Painting","Religious","Donkey|Forest|Mountain|River|Christ|Holy family|New Testament|Virgin Mary|Landscape","73B64",37.1,55.6,,"England","London","Courtauld Institute of Art","Seilern Collection",,,"Public",1563,1563,"Oil","Panel",,"BRUEGEL MDLXIII","Lower right",,,,,,,,,,,,,,"Sellink, cat. #123: accepted., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Grossmann 1973, pp. 194-95|Marijnissen 1988, p. 209|Gibson 1989, pp. 66-67",,,,,,"9415|9416|9417|9418",,,,,,,"The Courtauld","http://www.artandarchitecture.org.uk/images/gallery/6b06f360.html","img/derivatives/simple/9997/thumbnail.jpg","img/derivatives/simple/9997/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-flight-into-egypt"
9998,"Christ and the Woman Taken in Adultery","Painting","Religious","Moralizing|Borromeo|Christ|New Testament|Pharisees","73C7222",24.1,34.4,,"England","London","Courtauld Institute of Art","Seilern Collection",,,"Public",1565,1565,"Oil","Panel",,"BRUEGEL. M.D.LXV.","Lower left",,"Inscribed in the center, near Christ's right hand: DIE SONDER SONDE IS / DIE [He that is without sin (among you), let him...]",,,,,,,,,,,,"Sellink, cat. #140: accepted., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Grossmann 1952|Gibson 1977, pp. 134-39|Marijnissen 1988, pp. 288-89|Roberts-Jones 2002, pp. 138-39",,,,,,"9419|9420",3026,"in the 17th century Jan gives it to the Italian Cardinal Federico Borromeo.  Borromeo has a copy made and returns original to Jan Brueghel.  Both sons made copies of the composition: Jan the Elder painted a grisaille copy now int he Alte Pinakotheck, Munich and Pieter the Younger made a copy in color (maybe based on a print) (Ertz, 1998, 9)",,,"One of three Bruegels painted in grisaille style. One of the few paintings which remained in Bruegel's family for a long time.",,"The Courtauld","http://www.artandarchitecture.org.uk/images/gallery/2edc26bc.html","img/derivatives/simple/9998/thumbnail.jpg","img/derivatives/simple/9998/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/christ-and-the-woman-taken-in-adultery"
9999,"The Massacre of the Innocents","Painting","Religious","Catastrophe|Death|Moralizing|Winter|Dog|Horse|Village|River|Children|Crowd|Knight|Soldiers|New Testament","73B63",109.2,156.7,,"England","London","Royal Collection","RCIN 405787, Windsor Castle",,,"Public",1566,1566,"Oil","Panel",,"BRUEGEL","Lower right",,,,,,,,,,,,,,"Sellink, cat. #154: accepted., Rejected, copy. Tolnay 1935., Not mentioned. Friedländer 1937., Accepted, ca. 1565-1567. Grossmann 1973., Accepted, ca. 1565. Marijnissen 1988.","Gibson 1977, pp. 140-44|Campbell 1985, p. 9|Marijnissen 1988, pp. 283-87|Kunzle 2001|Roberts-Jones 2002, pp. 128-34","R.A. King's Pictures, R.A. Flemish Art, 1953-54",,,,,"9421|9422|9423|9424",,"Copied by Pieter the Younger",,,,,"The Royal Collection","http://www.royalcollection.org.uk/collection/405787/massacre-of-the-innocents","img/derivatives/simple/9999/thumbnail.jpg","img/derivatives/simple/9999/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-massacre-of-the-innocents"
10000,"The Triumph of Death","Painting","Allegory","Battle|Catastrophe|Death|Creatures|Dog|Horse|Coast|Field|Fire|Mountain|Beggars|Burghers|Crowd|Fools|Merchants|Skeletons|Armor|Coins|Household items|Musical instruments|Boat|Wagon",,117,162,,"Spain","Madrid","Museo del Prado","1221 (given in Sellink)  /  P01393 (from Prado website)",,,"Public",1562,1562,"Oil","Panel",,,,,,,,,,,,,,,,,"Sellink, cat. #115: accepted., Accepted, ca. 1561-62. Tolnay 1935., Accepted, ca. 1562. Friedländer 1937., Accepted, ca. 1562. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 109-19|Marijnissen 1988, pp. 195-200|Gibson 1991, pp. 53-86|Van Schoute/ Verougstraete 1993|Corcoran 1995|Roberts-Jones 2002, pp. 98-104",,,,,,"9523|9524|9525",,,,,,,"Museo del Prado","https://www.museodelprado.es/en/the-collection/online-gallery/on-line-gallery/obra/the-triumph-of-death/","img/derivatives/simple/10000/thumbnail.jpg","img/derivatives/simple/10000/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-triumph-of-death"
10001,"The Wine of Saint Martin&#39;s Day","Painting","Urban, Common and Peasant Life","Feasting|Autumn|Dog|Horse|Village|Beggars|Crowd",,148,270.5,,"Spain","Madrid","Museo del Prado",,,,"Public",,,"Glue-size tempera",,,,,,,,,,,,,,,,,,,,,,,,,"9425|9426|9427|9428",,,,,,,"Museo del Prado exhibition page","https://www.museodelprado.es/en/exhibitions/exhibitions/at-the-museum/instalacion-especial-emel-vino-en-la-fiesta-de-san-martinem-de-bruegel-el-viejo/instalacion-temporal/","img/derivatives/simple/10001/thumbnail.jpg","img/derivatives/simple/10001/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-wine-of-saint-martins-day"
10002,"The Land of Cockaigne (Munich)","Painting","Proverb","Feasting|Resting|Swine|Coast|Mountain|Farmers|Knight|Soldiers|Household items|Boat","25N1",52,78,,"Germany","Munich","Alte Pinakothek",,,,"Public",1567,1567,"Oil","Panel",,"M.DKXVII. / BRUEGEL","Lower left",,,,,,,,,,,,,,"Sellink, cat. #159: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Lebeer 1955|Munich 1973, pp. 16-17|Gibson 1977, pp. 178-80|Marijnissen 1988, pp. 333-37|Frank 1991|Kostyshyn 1994, pp. 254-304|Roberts-Jones 2002, pp. 238-41",,,,,,,10165,"Print by Pieter van der Heyden? published by Volcxken Diericx (widow of Hieronymous Cock)",,,,,,,"img/derivatives/simple/10002/thumbnail.jpg","img/derivatives/simple/10002/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-land-of-cockaigne-munich"
10003,"Head of a Peasant Woman","Painting","Study","Everyday life|Tronie",,22,18,,"Germany","Munich","Alte Pinakothek",,,,"Public",1568,1568,"Oil","Panel",,,,,,,,,,,,,,,,,"Sellink, cat. #168: accepted., Rejected. Tolnay 1935., Accepted, ca. 1563. Friedländer 1937., Accepted. Grossmann 1973., Accepted, ca. 1568. Marijnissen 1988.","Munich 1973, p. 17|Gibson 1977, p. 121|Marijnissen 1988, pp. 346-47|Roberts-Jones 2002, pp. 279-80|Gibson 2006, pp. 57-59",,,,,,,,,,,,,,,"img/derivatives/simple/10003/thumbnail.jpg","img/derivatives/simple/10003/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/head-of-a-peasant-woman"
10004,"The Misanthropist","Painting","Proverb","Robbery|Windmill|Field|Shepherds",,86,85,,"Italy","Naples","Museo Nazionale di Capodimonte",,,,"Public",1568,1568,"Glue-size tempera","Cloth",,"BRUEGEL / 1568","Lower right",,"Inscribed, presumably in a later hand: Om dat de werelt is soe ongetru/ daer om gha ic in den ru [I cover myself in mourning because the world is faithless]",,,,,,,,,,,,"Sellink, cat. #164: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 188-89|Marijnissen 1988, pp. 360-64|Roberts-Jones 2002, pp. 236-37",,,,,,"9429|9430|9431",,,,,,,,,"img/derivatives/simple/10004/thumbnail.jpg","img/derivatives/simple/10004/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-misanthropist"
10005,"The Parable of the Blind","Painting","Proverb","Traveling|Church|Village|Field|Beggars|New Testament|Pharisees","31A41111",86,156,,"Italy","Naples","Museo Nazionale di Capodimonte",,,,"Public",1568,1568,"Glue-size tempera","Cloth",,"Bruegel M.D. LXVIII","Lower left",,,,,,,,,,,,,,"Sellink, cat. #165: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 185-89|Marijnissen 1988, pp. 365-69|Roberts-Jones 2002, pp. 56-62",,,,,,"9432|9433|9434|9435|9436",,"Copy by Pieter Brueghel the Younger, c. 1616",,,,,,,"img/derivatives/simple/10005/thumbnail.jpg","img/derivatives/simple/10005/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/the-parable-of-the-blind"
10006,"Haymaking (June/July)","Painting","Landscape","Everyday life|Farming|Harvesting|Seasons|Series|Summer|Horse|Church|Village|Jongelinck|Field|Mountain|River|Road|Wagon","23K31, 23K23",114,158,,"Czech Republic","Prague","Nelahozeves Castle, Lobkowicz Collection",,,,"Public",1565,1565,"Oil","Panel",,,,,,,,,,,,"The Months",,,,,"Sellink, cat. #134: accepted., Accepted. Tolnay 1935., Accepted. Friedländer 1937., Accepted. Grossmann 1973., Accepted. Marijnissen 1988.","Gibson 1977, pp. 146-59|Vienna 1981, pp. 86-94|Marijnissen 1988, pp. 252-78|Gibson 1989, pp. 69-74|Buchanan 1990|Seipel 1998, pp. 84-113|Goldstein 2000|Falkenburg 2001|Herold 2002|Roberts-Jones 2002, pp. 152-75",,,,,,9437,,,,,,,,,"img/derivatives/simple/10006/thumbnail.jpg","img/derivatives/simple/10006/fullwidth.jpg","pieterbruegel","pieterbruegel_item",,"/pieterbruegel/haymaking-june-july"
