pid,janonly,related_html,related_ids,label,object_type,genre,tags,realdate,height_cm,width_cm,diameter_cm,plate_dimensions,support,drawing_medium,signature,signature_location,support_marks,further_inscription,collaborators,collaborator_notes,collectors_patrons,print_type,print_notes,printmaker,publisher,states,our_attribution,other_attribution_authorities,ertz_1979,ertz_2008,bailey_walker,hollstein_no,collection_type,location_country,location_city,location_collection,location_or_most_recent_sale_notes,provenance,bibliography,exhibition_history,related_works,copies_and_variants,curatorial_files,external_resources,biblio,order,layout,collection,thumbnail,full
9683,,<a href='/brughel/9826'><img src='/img/derivatives/simple/9826/thumbnail.jpg' /></a>,9826,Farm Wagons in a Large Village,Drawing,"Village, Town and Cityscape",,,22.9,32.3,,,Paper,"Pen and gray ink, blue and gray wash",,,,,,,,,,,,,,Bailey/Walker cat. #FLOR.UF.7,,,FLOR.UF.7,,Public,Italy,Florence,Galleria degli Uffizi,8839 S,,"Kloek 1975, nr. 58",,9826,,,,,1015,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9683/thumbnail.jpg,img/derivatives/simple/9683/full.jpg
9684,,,,Farmers and Soldiers on the Road,Drawing,"Urban, Common and Peasant Life",,,21.4,33.4,,,Paper,"Pen and brown ink, watercolor",,,,,,,,,,,,,,Bailey/Walker cat. #FLOR.UF.8,,,FLOR.UF.8,,Public,Italy,Florence,Galleria degli Uffizi,634 P,6738,"Kloek 1975, nr. 522 (as circle of J. de Momper)",,,,,https://www.polomuseale.firenze.it/gdsu/euploos/?#/autori:@526f875b8a36c410ec80372e;634;;P,,1016,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9684/thumbnail.jpg,img/derivatives/simple/9684/full.jpg
9685,,,,Rocky Landscape with Saint Jerome,Drawing,Religious,,,22.1,30.4,,,Paper,Pen and brown ink,,,,,,,,,,,,,,Bailey/Walker cat. #FLOR.UF.11,,,FLOR.UF.11,,Public,Italy,Florence,Galleria degli Uffizi,8841 S,,"Kloek 1975, nr. 54",,,,,https://rkd.nl/explore/images/12695,,1017,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9685/thumbnail.jpg,img/derivatives/simple/9685/full.jpg
2992,,,,Bouquet in a Small Glass Vase (Zurich),Painting,Flower Still-Life & Nature Study,Insects Glass Vase Flowers,ca. 1610,9.5,7.7,,,Copper,,,,,,,,,,,,,,Produced in Jan Brueghel's Studio,"Ertz 2008-10, #425, RKD as Jan Brueghel (II)",,425,,,Private,,,,"Zürich, David Koetser Gallery, 2005",4739,"Ertz 2008-10, cat. #425",,,,,,{% cite 8900 %} cat. #425,102,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2992/thumbnail.jpg,img/derivatives/simple/2992/full.jpg
9688,,,,Harbor with Tower,Drawing,Seascape,Horse Tower Harbor Peasants Seascape Boat,1615,20.1,30,,,Paper,"Pen and brush in brown, blue, and gray",,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #FRAN.ST.2,,,FRAN.ST.2,,Public,Germany,Frankfurt,Graphische Sammlung im Städelschen Kunstinstitut,3787,,"Bernt 1957-58, fig. 134; Essen/Vienna 1997-98, p. 470-1, nr. 169, ill.","Essen/Vienna 1997-98, nr. 169",,,,,,1020,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9688/thumbnail.jpg,img/derivatives/simple/9688/full.jpg
9690,,,,Study of Hunting Requisites,Drawing,Study,Musical_instruments,1617,18.7,29.5,,,Paper,Pen and brush,,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #HAMB.KH.2,,,HAMB.KH.2,,Public,Germany,Hamburg,Hamburger Kunsthalle (Kupferstichkabinett),21652,,"Los Angeles/The Hague 2006-07, p. 112, nr. 10/11, fig. 64; Stefes 2011, nr. 176; Hamburg 2011, p. 24, nr. 22","Los Angeles/The Hague 2006-07, under nr. 10/11|Hamburg 2011, nr. 22",,,,,,1022,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9690/thumbnail.jpg,img/derivatives/simple/9690/full.jpg
9692,,,,Wagons on Road,Drawing,Landscape,,,21.2,32.2,,,Paper,"Pen and ink, blue watercolor, washed",,,,Collector's mark: (LR) Esdaile,,,,,,,,,,Bailey/Walker cat. #HAMB.KH.4,,,HAMB.KH.4,,Public,Germany,Hamburg,Hamburger Kunsthalle (Kupferstichkabinett),21756,6752,"Hamburg 1920, p. 9, nr. 22","Hamburg 1920, nr. 22",,,,,,1024,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9692/thumbnail.jpg,img/derivatives/simple/9692/full.jpg
9694,,<a href='/brughel/9673'><img src='/img/derivatives/simple/9673/thumbnail.jpg' /></a>,9673,Ruins on the Way to Tivoli (recto); Waterfall in Tivoli (verso),Drawing,Ruins,,,36.1,26.6,,,Paper,"Pen and brown ink, blue, green, and brownish-purple watercolor",,,,"Watermark: anchor in circle with star above (similar to Briquet 478, 480, 482, 488, 490-494)",,,,,,,,,,Bailey/Walker cat. #KASS.KK.1,,,KASS.KK.1,,Public,Germany,Kassel,Staatliche Kunstsammlungen Kassel (Kupferstichkabinett),5095,6753,"Oehler 1979, p. 55-9, nr. 16, ill. (p. 55)",,9673,,,,,1026,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9694/thumbnail.jpg,img/derivatives/simple/9694/full.jpg
9695,,,,Waterfalls in Tivoli (recto and verso),Drawing,Landscape,,,37.4,26.8,,,Paper,"Pen and brown ink, blue and brownish-purple watercolor (recto); pen and brown ink (verso)",,,,"Verso, ""4 gribe (grobe?)""",,,,,,,,,,Bailey/Walker cat. #KASS.KK.2,,,KASS.KK.2,,Public,Germany,Kassel,Staatliche Kunstsammlungen Kassel (Kupferstichkabinett),5096,6754,"Oehler 1979, p. 60-1, nr. 17, ill.",,,,7295,,,1027,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9695/thumbnail.jpg,img/derivatives/simple/9695/full.jpg
9696,,<a href='/brughel/9673'><img src='/img/derivatives/simple/9673/thumbnail.jpg' /></a>,9673,Waterfall in Tivoli (Cascata della Stipa?; recto); Sketch of a Southern Landscape with Buildings on a Road in Tivoli (verso),Drawing,Landscape,,,37.7,25.3,,,Paper,"Pen and brown ink, blue wash (recto); pen and brown ink (verso)",,,,"Watermark: Easter lamb in double circle, over the letters ""PA"" (similar to Briquet 60)",,,,,,,,,,Bailey/Walker cat. #KASS.KK.3,,,KASS.KK.3,,Public,Germany,Kassel,Staatliche Kunstsammlungen Kassel (Kupferstichkabinett),5094,6755,"Wegner 1962, p. 1; Oehler 1979, p. 63, nr. 18, ill. (p. 62-3)",,9673,,7286,,,1028,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9696/thumbnail.jpg,img/derivatives/simple/9696/full.jpg
9698,,,,Visitors to the Fountain of Sauvenières at Spa,Drawing,Landscape,,1612,13.9,21.2,,,Paper,"Pen and brown ink, brown and gray wash, pencil",,,,"""Savonir tot Spa 1612""; Midden onder: fonteyne om doogen te baden",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LEID.RU.2,,,LEID.RU.2,,Public,Netherlands,Leiden,Prentenkabinet der Rijksuniversiteit,PK-T-AW-1006,6759|6760|6761|6762|6763,"The Hague 1930, III, nr. 25; Amsterdam 1956, nr. 17, fig. 8; Winner 1961, p. 221; Brussels 1969, nr. 252; Bodart 1970, vol. 1, p. 254, note 3; London/Paris/Bern/Brussels 1972, nr. 14; Essen/Vienna 1997-98, p. 464-5, nr. 166, ill.","The Hague 1930, nr. 25|Amsterdam 1956, nr. 17|Brussels 1969, under nr. 252|London/Paris/Bern/Brussels 1972, under nr. 14|Essen/Vienna 1997-98, nr. 166",,,,https://socrates.leidenuniv.nl/R/-?func=dbin-jump-full&object_id=2713727,,1029,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9698/thumbnail.jpg,img/derivatives/simple/9698/full.jpg
2993,,<a href='/brughel/3145'><img src='/img/derivatives/simple/3145/thumbnail.jpg' /></a>|<a href='/brughel/2995'><img src='/img/derivatives/simple/2995/thumbnail.jpg' /></a>|<a href='/brughel/3803'><img src='/img/derivatives/simple/3803/thumbnail.jpg' /></a>|<a href='/brughel/3819'><img src='/img/derivatives/simple/3819/thumbnail.jpg' /></a>|<a href='/brughel/3158'><img src='/img/derivatives/simple/3158/thumbnail.jpg' /></a>,3145|2995|3803|3819|3158,Bouquet of Flowers in a Chinese Vase (Germany),Painting,Flower Still-Life & Nature Study,Insects Vase Flowers Fruit,1605-1609,44.6,31.7,,,Copper,,".RUEGHEL (""B"" added during restoration)",,,,,,,,,,,,Jan Brueghel the Elder,"Ertz 2008-10, #443, Ertz 1979, #208a, Honig database",208,443,,,Private,,,,"Germany, Private Collection",4740|4741|4742|4743|4744,"Ertz 1979, cat. #208a; Ertz 2008-10, cat. #443; Brenninkmeijer-de Rooij p.81","Slatter art dealer, London, 1949, #2|Norwich Castle Museum 1955, Cat. #6|Ghent 1960, cat. #31, fig. 54|Brussels 1980, cat. #128",3145|2995|3803|3819|3158,,,,"{% cite 9004 %} cat. #208a, {% cite 8900 %} cat. #443, {% cite 8196 %} p.81",103,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2993/thumbnail.jpg,img/derivatives/simple/2993/full.jpg
9699,,,,View of a Village,Drawing,"Village, Town and Cityscape",,,9.3,16.5,,,Paper,"Pen and gray ink, gray, blue, and brown wash",,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LEID.RU.3,,,LEID.RU.3,,Public,Netherlands,Leiden,Prentenkabinet der Rijksuniversiteit,PK-T-AW-143,6764|6765|6766|6767|6768|6769|6770|6771,,,,,,https://socrates.leidenuniv.nl/R/-?func=dbin-jump-full&object_id=2713729,,1030,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9699/thumbnail.jpg,img/derivatives/simple/9699/full.jpg
9700,,,,View of the Harbor of Naples with Castel Nuovo,Drawing,"Village, Town and Cityscape",,,14.7,19.5,,,Paper,"Pen and brown ink, brown and blue wash",,,,,,,,,,,,,,Bailey/Walker cat. #LEID.RU.4,,,LEID.RU.4,,Public,Netherlands,Leiden,Prentenkabinet der Rijksuniversiteit,PK-T-AW-379,6772|6773|6774|6775|6776|6777,,,,,,https://socrates.leidenuniv.nl/R/-?func=dbin-jump-full&object_id=2713740,,1031,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9700/thumbnail.jpg,img/derivatives/simple/9700/full.jpg
9702,,,,Village in Winter,Drawing,"Village, Town and Cityscape",,ca. 1610-ca. 1615,24,37.7,,,Paper,"Pen and brown ink, watercolor",,,,,,,,,,,,,,Bailey/Walker cat. #LEIP.BK.2,,,LEIP.BK.2,,Public,Germany,Leipzig,Museum der Bildenden Künste,NI.463,,"St. Louis 1991, p. 24, nr. 33","St. Louis 1991, nr. 33",,,,,,1033,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9702/thumbnail.jpg,img/derivatives/simple/9702/full.jpg
9708,,,,Study of a Tree Trunk and Foliage (recto); Studies of Foliage with Fruits and Berries (verso),Drawing,Study,Fruit Leaves,ca. 1620,14.8,17.3,,,Paper,"Pen and brown ink, with brown wash (recto); pen and brown ink, with gray-brown wash (verso)",,,,,,,,,,,,,,Bailey/Walker cat. #LOND.BM.14,,,LOND.BM.14,,Public,England,London,British Museum,"RN 1874,0808.2260",6823,,,,,6531,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=711694&partId=1&searchText=1874%2C0808.2260&view=list&page=1,,1035,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9708/thumbnail.jpg,img/derivatives/simple/9708/full.jpg
9710,,<a href='/brughel/9719'><img src='/img/derivatives/simple/9719/thumbnail.jpg' /></a>,9719,Imaginary Scene,Drawing,Landscape,,1616,13.5,18.1,,,Paper,"Pen and brown ink, with brown and blue wash","""Joan breugel In neurenbeurg 1616 [6 amended in 7]"" (artist's hand?)",,,"""No.13"" or ""No.11""; ""1801 WE P.120 N.111"" (by Esdaile); ""/am: m r: -""; ""98""",,,,,,,,,,Bailey/Walker cat. #LOND.BM.34,,,LOND.BM.34,,Public,England,London,British Museum,"RN 1946,0713.146",6856|6857|6858|6859|6860|6861|6862|6863,"Popham 1935, p. 178, nr. 1; Winner 1961, p. 224-226, fig. 34 (as falsification); Camp 2013, p. 22-43 (as Jan Brueghel the Younger)",,9719,,,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=712252&partId=1&searchText=brueghel&view=list&page=1,"{% cite 8649 %} p. 178, nr. 1, {% cite 8913 %} p. 224-226, fig. 34 (as falsification), {% cite 9254 %}  p. 22-43 (as Jan Brueghel the Younger)",1036,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9710/thumbnail.jpg,img/derivatives/simple/9710/full.jpg
9712,,,,Landscape with Sportsmen,Drawing,Landscape,,,20.3,31.4,,,Paper,Pen and brown ink with blue and gray wash,,,,,,,,,,,,,,Bailey/Walker cat. #LOND.BM.36,,,LOND.BM.36,,Public,England,London,British Museum,"RN SL,5214.272",6866,"Hind 1915, nr. 20",,,,,http://www.britishmuseum.org/research/collection_online/collection_object_details.aspx?objectId=712293&partId=1&searchText=Landscape%20with%20Sportsmen&page=1,,1038,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9712/thumbnail.jpg,img/derivatives/simple/9712/full.jpg
2995,,<a href='/brughel/3145'><img src='/img/derivatives/simple/3145/thumbnail.jpg' /></a>|<a href='/brughel/2993'><img src='/img/derivatives/simple/2993/thumbnail.jpg' /></a>|<a href='/brughel/3803'><img src='/img/derivatives/simple/3803/thumbnail.jpg' /></a>|<a href='/brughel/3819'><img src='/img/derivatives/simple/3819/thumbnail.jpg' /></a>|<a href='/brughel/3158'><img src='/img/derivatives/simple/3158/thumbnail.jpg' /></a>,3145|2993|3803|3819|3158,Bouquet of Flowers in a Chinese Vase (The Hague),Painting,Flower Still-Life & Nature Study,Insects Jan_Brueghel_the_Younger Vase Flowers,1610-1615,42,34.5,,,Panel,,,,,,Jan Brueghel the Younger (1601-1678),,,,,,,,Jan Brueghel the Elder,"Ertz 1979, #208, Ertz 2008-10, #442, Honig database",208,442,,,Public,Netherlands,The Hague,Mauritshuis,inv. #1072,4751|4752|4753|4754|4755,"Ertz 1979, cat. #208; Ertz 1984, cat. #275; The Hague 1992, p. 72 under cat. #11; Brenninkmeijer-de Rooij 1996, pp.64 & 81, fig. 65; Ertz 2008-10, cat. #442","Brueghel Exhibition, P. de Boer, Amsterdam, 1934, cat. #274|''Bloemenwereld Eur.'', Teylers Museum, Haarlem, Mar. 13 - May 17, 1953, cat. #12.|Ghent 1960, cat. #32",3145|2993|3803|3819|3158,,,,"{% cite 9004 %} cat. #208, {% cite 8067 %} cat. #275, {% cite 9032 %} p. 72 under cat. #11, {% cite 8196 %} pp.64 & 81, fig. 65, {% cite 8900 %} cat. #442",104,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/2995/thumbnail.jpg,img/derivatives/simple/2995/full.jpg
9715,,,,Fantastic Landscape with Figures,Drawing,Landscape,,,23.9,39.2,,,Paper,Pen and brown ink,"""J. Breugel""",,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LOND.CO.1,,,LOND.CO.1,,Public,England,London,Courtauld Institute of Art,D.1952.RW.2263,6871,"Berlin 1927, p. 29, nr. 6","Berlin 1927, nr. 6",,,,http://www.artandarchitecture.org.uk/images/gallery/504d5af2.html,"{% cite 8558 %} p. 29, nr. 6",1041,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9715/thumbnail.jpg,img/derivatives/simple/9715/full.jpg
9718,,,,Village Scene (London),Drawing,"Village, Town and Cityscape",,,18.5,31,,,Paper,Pen and brown ink,,,,,,,,,,,,,,Bailey/Walker cat. #LOND.CO.4,,,LOND.CO.4,,Public,England,London,Courtauld Institute of Art,D.1952.RW.4097,6874,,,,,,http://www.artandarchitecture.org.uk/images/gallery/1e03f76a.html,,1044,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9718/thumbnail.jpg,img/derivatives/simple/9718/full.jpg
9719,,<a href='/brughel/9710'><img src='/img/derivatives/simple/9710/thumbnail.jpg' /></a>,9710,Hill Landscape,Drawing,Landscape,,1619,12,17.7,,,Paper,"Pen and brown ink, graphite","""Johan.breûgel.1619.""",,,"Verso, ""PTN""",,,,,,,,,,Bailey/Walker cat. #LOND.CO.5,,,LOND.CO.5,,Public,England,London,Courtauld Institute of Art,D.1952.RW.1647,6875,,,9710,,,http://www.artandarchitecture.org.uk/images/gallery/6ba0b705.html,,1045,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9719/thumbnail.jpg,img/derivatives/simple/9719/full.jpg
9720,,,,Watermill in a Wooded Landscape,Drawing,Landscape,,,23.7,32,,,Paper,"Pen, washed and slightly tinted",,,,,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LOND.VA.1,,,LOND.VA.1,,Public,England,London,Victoria and Albert Museum,DYCE.528,6876|6877|6878,"Reid/Redgrave/Black 1874; Turner/White 2014, vol. 2, nr. 458",,,,,http://collections.vam.ac.uk/item/O240305/an-overshot-watermill-in-a-drawing-brueghel-jan-the/,,1046,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9720/thumbnail.jpg,img/derivatives/simple/9720/full.jpg
9722,,,,A River Landscape,Drawing,Landscape,,ca. 1600-ca. 1610,12.3,18.5,,,Paper,"Pen and brown ink, remains of blue wash",,,,"""fluweelen Breugel fec""",,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LOND.WC.1,,,LOND.WC.1,,Public,England,Windsor,Windsor Castle,"Royal Collection, RCIN 906233",6880|6881|6882,"Puyvelde 1942, nr. 205; White and Crawley 1994, nr. 329",,,,,https://www.royalcollection.org.uk/collection/906233/a-river-landscape,"{% cite 8921 %} nr. 205, {% cite 8191 %} nr. 329",1048,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9722/thumbnail.jpg,img/derivatives/simple/9722/full.jpg
9723,,,,A Village Street,Drawing,"Village, Town and Cityscape",,,11.2,17.8,,,Paper,Pen and brown ink,,,,P.B. (?); Inscribed: Wittebroek Door P: Breugel,,,,,,,,,Jan Brueghel the Elder,Bailey/Walker cat. #LOND.WC.2,,,LOND.WC.2,,Public,England,Windsor,Windsor Castle,"Royal Collection, RCIN 906234",6883|6884|6885,"Puyvelde 1942, nr. 206; White/Crawley 1994, nr. 330",,,,7272,https://www.royalcollection.org.uk/collection/906234/a-village-street,"{% cite 8921 %} nr. 206, {% cite 8191 %} nr. 330",1049,pieterbrueghel_item,pieterbrueghel,img/derivatives/simple/9723/thumbnail.jpg,img/derivatives/simple/9723/full.jpg
