"pid","label","object_type","genre","worktags","iconclass_code","height_cm","width_cm","diameter_cm","location_country","location_city","location_collection","accession_nos_and_notes","private_collection_info","most_recent_sale","collection_type","realdate","numeric_date","medium","support","support_notes","signature","signature_location","support_marks","further_inscription","print_notes","print_type","plate_dimensions","states","printmaker","publisher","series","collaborators","collaborator_notes","collectors_patrons","our_attribution","other_attribution_authorities","bibliography","biblio_reference","exhibition_history","ertz_1979","ertz_2008","bailey_walker","hollstein_no","bad_copy","exclude_from_browsing","provenance","provenance_text","related_works","related_works_notes","copies_and_variants","curatorial_files","general_notes","discussion","external_resources_title","external_resources_url","thumbnail","fullwidth","collection","layout","order","permalink"
2883,"Adoration of the Magi (Vienna)","Painting","Religious","Resting|Horse|Bridge|House|Pieter Bruegel|River|Burghers|Children|Soldiers|Christ|New Testament|Virgin Mary",,33,48,,"Austria","Vienna","Kunsthistorisches Museum","inv. #617",,,"Public",1598,1598,"Oil","Copper",,"BRUEGHEL 1598",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #225|Ertz 1979, #49","Thiéry 1953, p. 175|Ertz 1979, cat. #49, fig. 507|Essen 1997|Ertz 2008-10, cat. #225","7583|7584|7585|7586","Brussels 1980, cat. #120",49,225,,,,,4456,"1806, Vienna, Kunsthistorisches Museum, Purchase","2877|2881|2878|2882|2876|2880|2879",,,,,"10|11|12","Kunsthistorisches Museum","http://bilddatenbank.khm.at/viewArtefact","img/derivatives/simple/2883/thumbnail.jpg","img/derivatives/simple/2883/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/adoration-of-the-magi-vienna"
2884,"Aeneas Carrying Anchises from the Burning Troy (Amsterdam)","Painting","Classical Mythology","Bridge|City|Fire|Burghers|Soldiers|Classical|History|Mythological|Boat",,25.5,34.3,,,,,,"Private Collection","Amsterdam, Salomon Lilian Gallery, 2005","Private",1593,1593,"Oil","Copper",,"BRUEGHEL 1593",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #325","Ertz 2008-10, cat. #325",7520,,,325,,,,,"4457|4458","Private Collection, Paris, before 2004|Johnny van Haeften Ltd., London, 2004","2887|2886|2889",,,"424|425|426",,"13|14",,,"img/derivatives/simple/2884/thumbnail.jpg","img/derivatives/simple/2884/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-amsterdam"
2885,"Aeneas Carrying Anchises from the Burning Troy (Cologne)","Painting","Classical Mythology","City|Rottenhammer|Fire|Nude|Soldiers|Classical|History|Mythological|Armor",,41,56.5,,,,,,"Private Collection","Cologne, Lempertz, May 16, 2009, inv. #1025","Private","1608-1610",1608,"Oil","Copper",,,,"Mark of Peeter Stas",,,,,,,,,"Hans Rottenhammer",,,"Produced Outside Jan Brueghel's Studio","Ertz 2008-10, #330","Ertz 2008-10, cat. #330",7518,,,330,,,,,"4459|4460|4461|4462","Gallery Müllenmeister, Solingen, 1996|Dorotheum, Vienna, October 15, 1996, #113|Hampel, Munich, September 5, 2006|Dorotheum, Vienna, April 7, 2006, #121",,,,,,15,,,"img/derivatives/simple/2885/thumbnail.jpg","img/derivatives/simple/2885/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-cologne"
2886,"Aeneas Carrying Anchises from the Burning Troy (London)","Painting","Classical Mythology","Bridge|City|Fire|Soldiers|Classical|History|Mythological|Boat",,25.4,34.6,,,,,,"Private Collection","London, Christie's, July 7, 2004, inv. #23","Private","ca. 1595",1595,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #328","Ertz 2008-10, cat. #328",7517,,,328,,,,,4463,"Acquired by the father of the current owner, ca. 1975","2887|2884|2889",,,,,16,,,"img/derivatives/simple/2886/thumbnail.jpg","img/derivatives/simple/2886/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-london"
2887,"Aeneas Carrying Anchises from the Burning Troy (Munich)","Painting","Classical Mythology","Bridge|City|Fire|Soldiers|Classical|History|Mythological|Boat",,26,35.4,,"Germany","Munich","Alte Pinakothek","inv. #832",,,"Public","ca. 1595",1595,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #326|Ertz 1979, #26","Ertz 1979, cat. #26, fig. 135|J. Hanselaer in Gentse Bijdragen 28 (1989), 105-118, fig. 3|Ertz 2008-10, cat. #326|Ruby in Munich 2013, p. 41","7581|7582","Munich 2013, cat. #17",26,326,,,,,4464,"Kurfürstlichen Gallery, Munich","3703|2884|2886|2889",,,,,"17|18",,,"img/derivatives/simple/2887/thumbnail.jpg","img/derivatives/simple/2887/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-munich"
2888,"Aeneas Carrying Anchises from the Burning Troy (Paris)","Painting","Classical Mythology","City|Miniature|Oval|Fire|Classical|History|Landscape|Mythological",,6.7,8.6,,,,,,"Private Collection","Paris, Galerie de Jonckheere","Private","ca. 1605",1605,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #329","Ertz 2008-10, cat. #329",7516,,,329,,,,,"4465|4466|4467","Acquired at the Antique Dealers Fair from Ellis & Smith, 1947|Christie's, London, November 16, 1998, #3 (as 'attributed to Jan I')|Gallery Bernheimer, London, 1999",,,,,,19,,,"img/derivatives/simple/2888/thumbnail.jpg","img/derivatives/simple/2888/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-paris"
2889,"Aeneas Carrying Anchises from the Burning Troy (Private Collection)","Painting","Classical Mythology","Bridge|City|Fire|Soldiers|Classical|History|Mythological|Boat",,18.5,25.5,,,,,,"Private Collection",,"Private","ca. 1595",1595,"Oil","Copper",,,,,,,,,,,,,,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #327","Ertz 2008-10, cat. #327",7522,,,327,,,,,,,"2887|2884|2886",,,,,,,,"img/derivatives/simple/2889/thumbnail.jpg","img/derivatives/simple/2889/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-carrying-anchises-from-the-burning-troy-private-collection"
2890,"Aeneas and Sibyl in the Underworld (Amsterdam)","Painting","Classical Mythology","Fire|Nude|Demons|Hell/Underworld|Classical|History|Mythological",,25.5,34.3,,,,,,"Private Collection","Amsterdam, Salomon Lillian Gallery","Private","ca. 1596",1596,"Oil","Copper",,,,,,,,,,,,,,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #334 as Jan and studio","Ertz 2008-10, cat. #334",7521,,,334,,,,,"4468|4469","Private Collection, France, before 2004|Johnny van Haeften Ltd., London, 2005","2894|3301",,,"427|428|429",,20,,,"img/derivatives/simple/2890/thumbnail.jpg","img/derivatives/simple/2890/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-amsterdam"
2891,"Aeneas and Sibyl in the Underworld (Budapest, 551)","Painting","Classical Mythology","Nude|Demons|Hell/Underworld|Classical|History|Mythological",,26.4,36,,"Hungary","Budapest","Szépművészeti Múzeum","inv. #551 (640)",,,"Public",1600,1600,"Oil","Copper",,"BRUEGH. 1600",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #333|Ertz 1979, #65","Ertz 1979, cat. #65|Antwerp 1998, #38|Budapest 2000, 29|Silver 2006, p. 158, fig. 7.20|Ertz 2008-10, cat. #333","7573|7575|7574",,65,333,,,,,4470,"Esterházy Collection, 1871","2892|2893",,,,,21,"Szépművészeti Múzeum","http://www.szepmuveszeti.hu/adatlap_eng/aeneas_and_sibyl_in_the_8584","img/derivatives/simple/2891/thumbnail.jpg","img/derivatives/simple/2891/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-budapest-551"
2892,"Aeneas and Sibyl in the Underworld (Budapest, 553)","Painting","Classical Mythology","Fire|Nude|Demons|Hell/Underworld|Classical|History|Mythological",,26.4,36.2,,"Hungary","Budapest","Szépművészeti Múzeum","inv. #553 (645)",,,"Public","ca. 1600",1600,"Oil","Copper",,"...GHEL 160(0?)",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #333a|Ertz 1979, #66","Ertz 1979, cat. #66|Essen 1997, cat. #41|Budapest 2000, 29|Ertz 2008-10, cat. #333a","7576|7577|7578","Essen/Vienna 1997, cat. #41|Munich 2013, cat. #38",66,333,,,,,"4471|4472","Laxenburg, Esterházy Collection|Budapest, 1812 catalogue, X, #19 as Pieter the Younger","2891|2893",,,,,22,"Szépművészeti Múzeum","http://www.szepmuveszeti.hu/adatlap_eng/aeneas_and_sibyl_in_the_8585","img/derivatives/simple/2892/thumbnail.jpg","img/derivatives/simple/2892/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-budapest-553"
2893,"Aeneas and Sibyl in the Underworld (London)","Painting","Classical Mythology","Fire|Nude|Demons|Hell/Underworld|Classical|History|Mythological",,26.4,35.3,,,,,,"Private Collection","London, Johnny van Haeften Ltd.","Private",1598,1598,"Oil","Copper",,"BRUEGHEL 1598",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #332","Essen/Vienna 2003-4, p. 312|Ertz 2008-10, cat. #332","7579|7580","Essen/Vienna 2003-4, cat. #113",,332,,,,,"4473|4474|4475","Christie's, London, July 12, 2001|Richard Green Gallery, London, 2002|Sotheby's, London, July 4, 2007, #20 for 1,924,000 pounds","2891|2892",,,,,"23|24",,,"img/derivatives/simple/2893/thumbnail.jpg","img/derivatives/simple/2893/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-london"
2894,"Aeneas and Sibyl in the Underworld (Rome)","Painting","Classical Mythology","Fire|Nude|Demons|Hell/Underworld|Classical|Mythological",,25.7,35.3,,"Italy","Rome","Galleria Colonna","inv. #682",,,"Public",1594,1594,"Oil","Copper",,"BRUEGHEL 1594",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #331","Ertz 2008-10, cat. #331",7519,,,331,,,,,4476,"Probably collection of Cardinal Ascanio Colonna",2890,,,,,,,,"img/derivatives/simple/2894/thumbnail.jpg","img/derivatives/simple/2894/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-rome"
2895,"Aeneas and Sibyl in the Underworld (Vienna)","Painting","Classical Mythology","Fire|Nude|Demons|Hell/Underworld|Classical|History|Mythological",,36,52,,"Austria","Vienna","Kunsthistorisches Museum","inv. #817",,,"Public","ca. 1601",1601,"Oil","Copper",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #335|Ertz 1979, #67","Ertz 1979, cat. #67|Silver 2006, p. 205, fig. 9.17|Ertz 2008-10, cat. #335","7587|7588|7589",,67,335,,,,,4477,"Vienna Inventory H, Vienna, 1619, #7 ('Ein taffel von cupfer, Eneas mit den Sibilien in der Höllen, gar konstreich gemacht vom Brigel')",,,,,,25,"Kunsthistorisches Museum","http://bilddatenbank.khm.at/viewArtefact","img/derivatives/simple/2895/thumbnail.jpg","img/derivatives/simple/2895/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/aeneas-and-sibyl-in-the-underworld-vienna"
2897,"Albert and Isabella before Mariemont Castle","Painting","Landscape","Castle|Mariemont|Archdukes|Nobles|Road",,9.5,14.8,,"Germany","Munich","Alte Pinakothek","inv. #1893",,,"Public",1611,1611,"Oil","Copper",,"BRUEGH.. 1611",,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #557|Ertz 1979, #238","De Maeyer 1955, p. 155|Ertz 1979, cat. #238, fig. 44|Ertz 2008-10, cat. #557, pp. 1208-09","7590|7591","Munich 2013, cat. #61",238,557,,,,,"4483|4484","From the Galerie Mannheim, 1799","3904|3695|3609",,,"430|431",,,,,"img/derivatives/simple/2897/thumbnail.jpg","img/derivatives/simple/2897/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/albert-and-isabella-before-mariemont-castle"
2900,"Allegory of Abundance (Venus, Ceres and Bacchus)","Painting","Allegory","Encyclopedic|Van Balen|Vase|Forest|Nude|Putti|Allegory|Classical|Mythological|Flowers",,65,92.5,,,,,,"Private Collection","Paris, Galerie de Jonckheere","Private","ca. 1608",1608,"Oil","Panel",,,,,,,,,,,,,,,,"Jan Brueghel the Elder","Ertz 2008-10, #343|Ertz 1979, #304","Ertz 1979, cat. #304, fig. 462|Werche 2004, cat. #A69, pp. 78, 160-61|Ertz 2008-10, cat. #343","7788|7789|7790",,304,343,,,,,"4501|4502|4503|4504|4505|4506","Collection of Antonio Colombo|Finarte auction, Milan, October 20, 1970, #5|Private Collection, France, 1979|Christie's, London, December 13, 1991, lot #6|Gallery Asenbaum, Vienna, 1996|Private Collection, Italy",3791,,,,,"26|27",,,"img/derivatives/simple/2900/thumbnail.jpg","img/derivatives/simple/2900/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-abundance-venus-ceres-and-bacchus"
2902,"Allegory of Air (London)","Painting","Allegory","Abundance|Cosmology|Encyclopedic|Birds|Parrot|Van Balen|Pendant|Nude|Putti|Landscape",,47,66,,,,,,"Private Collection","London, Christie's, June 26, 1970, inv. #50","Private","ca. 1621",1621,"Oil","Copper",,,,,,,,,,,,,,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #506","Ertz 2008-10, Cat. 506, pp. 1061-62",7793,,,506,,,,,,,"3793|2904|3792|3924|2976",,,,,"28|29|30|31",,,"img/derivatives/simple/2902/thumbnail.jpg","img/derivatives/simple/2902/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-air-london"
2904,"Allegory of Air (Rome)","Painting","Allegory","Abundance|Cosmology|Elements|Birds|Parrot|Van Balen|Rome|Nude|Putti",,53,95,,"Italy","Rome","Galleria Doria Pamphilj",,,,"Public","ca. 1611",1611,"Oil","Panel",,,,,,,,,,,,"Rome 1606-1611 Elements",,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #502|Ertz 1979, #249 as Jan with workshop","Winner 1961, p.194, as replica of Lyons painting|Ertz 1979, cat. #249, fig.440|Werche 2004, cat. #A.143|Ertz 2008-10, cat. #502, pp. 1054-55|Rikken & Smith 2011, pp. 89-90, 93-94","7825|7826|7827|7828|7829",,249,502,,,,,4520,"Galleria Doria Pamphilj, Rome, catalogue 1742, #328","3793|2902|3792|3924|2976",,,,,"32|33|34",,,"img/derivatives/simple/2904/thumbnail.jpg","img/derivatives/simple/2904/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-air-rome"
2905,"Allegory of Air and Fire","Painting","Allegory","Abundance|Cosmology|Encyclopedic|Animals|Birds|Forge|Ruins|Watermill|Van Balen|Volcano|Nude|Landscape",,61.5,94,,"Germany","Potsdam","Prussian Palaces and Gardens Foundation Berlin-Brandenburg","inv. # GKI 7768",,,"Public","ca. 1620",1620,"Oil","Panel",,,,,,,,,,,,,,,,"Produced Outside Jan Brueghel's Studio","Ertz 2008-10, #516","Ertz 2008-10, Cat. 515, pp. 1077-78",7794,,,516,,,,,"4521|4522|4523|4524","Prussian Castle and Garden Berlin-Brandenburg, 1764|Rheinsberg, 1942-45|in the USSR until 1958|Returned to Potsdam, 1961",2976,,,,,35,,,"img/derivatives/simple/2905/thumbnail.jpg","img/derivatives/simple/2905/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-air-and-fire"
2906,"Allegory of Autumn","Painting","Allegory","Resting|Autumn|Animals|City|Pond|Peasants|Landscape",,20.3,27.6,,,,,,"Private Collection","London, Christie's, July 4, 1997, inv. #44 (as Marten Ryckaert)","Private","ca. 1590",1590,"Oil","Copper",,,,,,,,,,,,,,,,"Produced Outside Jan Brueghel's Studio","Ertz 2008-10, #531","Ertz 2008-10, cat. #531",7795,,,531,,,,,"4525|4526","Sotheby's, London, December 12, 1979, sale, Lot #44 (as Pieter Schoubroeck).|Christie's, London, sale, April 18, 1997 (as Marten Ryckaert).",,,,,,36,,,"img/derivatives/simple/2906/thumbnail.jpg","img/derivatives/simple/2906/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-autumn"
2907,"Allegory of Autumn (Neuburg an der Donau)","Painting","Allegory","Abundance|Animals|Parrot|Castle|Van Balen|Nude|Putti|Landscape|Cornucopia|Flowers|Fruit",,56,84,,"Germany","Munich","Bayerische Staatsgemäldesammlungen","inv. #13711; currently at Neuburg an der Donau, Staatsgalerie",,,"Public",1616,1616,"Oil","Copper",,,,,,,,,,,,"The Seasons",,,,"Jan Brueghel the Elder","Ertz 2008-10, #523|Ertz 1979, #318","Van Gool 1750/51, vol. 2, p. 559|Jost 1963, pp. 94, 122|Ertz 1979, cat. #318, fig. 459, pp. 384-88, 408, 610|Werche 2004, cat. #A 175, p. 204 ff|Von zur Muhlen 2004, pp. 74, 166-70, #65|Ertz 2008-10, cat. #523, p. 1092","10146|10147|10148|10149","Brussels 1980, cat. #134|Munich 2009, cat. #15|Munich 2013, cat. #69",318,523,,,,0,"4527|4528|4529|4530","Galerie Düsseldorf 1716 under #344 as ""by Velvet Brueghel and Van Balen""|Mannheim Gallery 1730, inv. #9|Munich 1822, inv. #2120|relinquished in 1939|Restored from the Federal Republic of Germany, 1966","2928|2938|2926",,,432,,37,,,"img/derivatives/simple/2907/thumbnail.jpg","img/derivatives/simple/2907/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-autumn-neuburg-an-der-donau"
2908,"Allegory of Earth","Painting","Allegory","Abundance|Cosmology|Animals|Castle|Church|Van Balen|Nude|Landscape|Fruit",,58,98,,,,,,"Private Collection","Unknown","Private",,,"Oil","Panel",,,,,,,,,,,,,,,,"Produced in Jan Brueghel's Studio","Ertz 2008-10, #492|Werche 2004 as Van Balen and Jan the Elder","Werche 2004, cat. #A.169, p. 201|Erz 2008-10, cat. #492, p. 1040","7796|7797",,,492,,,,,,,"3794|2911|3795",,,,,,,,"img/derivatives/simple/2908/thumbnail.jpg","img/derivatives/simple/2908/fullwidth.jpg","janbrueghel","janbrueghel_item",,"/janbrueghel/allegory-of-earth"
